#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      2.9925      2.9925           0
           2     2.99239     2.99245 3.80779e-05
           3     2.99207     2.99232  0.00010559
           4     2.99153     2.99212 0.000188197
           5     2.99078     2.99185   0.0002837
           6     2.98981     2.99151 0.000390734
           7     2.98862      2.9911 0.000508407
           8     2.98721     2.99061 0.000636115
           9     2.98558     2.99005  0.00077345
          10     2.98371     2.98942 0.000920146
          11     2.98161     2.98871  0.00107604
          12     2.97927     2.98792  0.00124107
          13     2.97668     2.98706  0.00141523
          14     2.97384     2.98611  0.00159848
          15     2.97073     2.98509  0.00179089
          16     2.96735     2.98398  0.00199265
          17      2.9637     2.98279  0.00220389
          18     2.95975     2.98151  0.00242476
          19      2.9555     2.98014  0.00265552
          20     2.95094     2.97868   0.0028965
          21     2.94604     2.97712  0.00314802
          22      2.9408     2.97547  0.00341047
          23     2.93521     2.97372  0.00368424
          24     2.92924     2.97187   0.0039697
          25     2.92288     2.96991  0.00426724
          26     2.91612     2.96784  0.00457732
          27     2.90893     2.96566  0.00490036
          28     2.90129     2.96336  0.00523687
          29     2.89319     2.96094  0.00558733
          30     2.88462      2.9584  0.00595218
          31     2.87554     2.95572  0.00633189
          32     2.86594     2.95292  0.00672699
          33     2.85579     2.94997    0.007138
          34     2.84508     2.94689  0.00756548
          35     2.83377     2.94366  0.00800996
          36     2.82185     2.94027  0.00847201
          37     2.80929     2.93673  0.00895213
          38     2.79609     2.93303  0.00945077
          39      2.7822     2.92917  0.00996839
          40     2.76763     2.92513   0.0105054
          41     2.75234     2.92091   0.0110623
          42     2.73632     2.91652   0.0116393
          43     2.71955     2.91194   0.0122368
          44     2.70202     2.90717   0.0128551
          45     2.68373      2.9022   0.0134943
          46     2.66466     2.89704   0.0141546
          47      2.6448     2.89167    0.014836
          48     2.62417      2.8861   0.0155383
          49     2.60276     2.88031   0.0162616
          50     2.58059     2.87432   0.0170054
          51     2.55766     2.86811   0.0177693
          52       2.534     2.86169   0.0185529
          53     2.50963     2.85504   0.0193555
          54     2.48458     2.84818   0.0201763
          55     2.45889     2.84111   0.0210143
          56     2.43259     2.83381   0.0218686
          57     2.40574      2.8263   0.0227379
          58     2.37839     2.81858    0.023621
          59     2.35058     2.81065   0.0245163
          60     2.32238     2.80251   0.0254224
          61     2.29385     2.79417   0.0263378
          62     2.26506     2.78564   0.0272605
          63     2.23606     2.77691   0.0281891
          64     2.20693     2.76801   0.0291215
          65     2.17774     2.75892    0.030056
          66     2.14854     2.74968   0.0309908
          67     2.11942     2.74027    0.031924
          68     2.09043     2.73071   0.0328538
          69     2.06164     2.72102   0.0337783
          70      2.0331     2.71119   0.0346959
          71     2.00488     2.70124   0.0356049
          72     1.97704     2.69118   0.0365034
          73     1.94963     2.68102   0.0373901
          74     1.92271     2.67078   0.0382633
          75     1.89633     2.66045   0.0391217
          76     1.87054     2.65006   0.0399637
          77      1.8454     2.63961   0.0407881
          78     1.82095     2.62911   0.0415936
          79     1.79725     2.61858    0.042379
          80     1.77433     2.60803   0.0431433
          81     1.75226     2.59746   0.0438852
          82     1.73107      2.5869   0.0446037
          83     1.71082     2.57634    0.045298
          84     1.69153     2.56581   0.0459672
          85     1.67327     2.55531   0.0466103
          86     1.65606     2.54485   0.0472266
          87     1.63994     2.53445   0.0478155
          88     1.62496     2.52412   0.0483762
          89     1.61112     2.51386   0.0489082
          90     1.59847     2.50369    0.049411
          91     1.58701     2.49361   0.0498843
          92     1.57676     2.48365   0.0503277
          93     1.56773      2.4738   0.0507411
          94      1.5599     2.46408   0.0511242
          95     1.55327     2.45449   0.0514772
          96     1.54781     2.44504   0.0518001
          97     1.54349     2.43575   0.0520933
          98     1.54027     2.42661    0.052357
          99     1.53809     2.41764   0.0525917
         100     1.53691     2.40883   0.0527981
         101     1.53665     2.40019   0.0529768
         102     1.53724     2.39173   0.0531287
         103     1.53859     2.38345   0.0532547
         104     1.54064     2.37535   0.0533556
         105      1.5433     2.36742   0.0534327
         106     1.54648     2.35968    0.053487
         107     1.55009     2.35211   0.0535196
         108     1.55406     2.34472   0.0535317
         109      1.5583     2.33751   0.0535246
         110     1.56274     2.33046   0.0534994
         111     1.56731     2.32359   0.0534574
         112     1.57194     2.31688   0.0533997
         113     1.57658     2.31033   0.0533275
         114     1.58118     2.30393   0.0532419
         115     1.58568     2.29769    0.053144
         116     1.59006     2.29159   0.0530348
         117     1.59428     2.28563   0.0529153
         118     1.59833      2.2798   0.0527865
         119     1.60217     2.27411   0.0526491
         120     1.60581     2.26854   0.0525041
         121     1.60924     2.26309   0.0523521
         122     1.61245     2.25776    0.052194
         123     1.61544     2.25253   0.0520302
         124     1.61823     2.24742   0.0518615
         125     1.62081     2.24241   0.0516883
         126     1.62321     2.23749   0.0515111
         127     1.62544     2.23267   0.0513305
         128     1.62751     2.22794   0.0511467
         129     1.62943      2.2233   0.0509602
         130     1.63123     2.21875   0.0507713
         131     1.63292     2.21428   0.0505803
         132     1.63451     2.20989   0.0503875
         133     1.63602     2.20557    0.050193
         134     1.63747     2.20133   0.0499972
         135     1.63887     2.19716   0.0498001
         136     1.64022     2.19307   0.0496021
         137     1.64154     2.18904   0.0494031
         138     1.64283     2.18509   0.0492034
         139      1.6441     2.18119   0.0490031
         140     1.64534     2.17737   0.0488023
         141     1.64657      2.1736   0.0486012
         142     1.64777      2.1699   0.0483998
         143     1.64895     2.16626   0.0481983
         144      1.6501     2.16267   0.0479966
         145     1.65122     2.15914   0.0477951
         146     1.65231     2.15567   0.0475936
         147     1.65337     2.15226   0.0473923
         148     1.65438     2.14889   0.0471914
         149     1.65535     2.14558   0.0469907
         150     1.65627     2.14232   0.0467906
         151     1.65714      2.1391   0.0465909
         152     1.65796     2.13594   0.0463918
         153     1.65873     2.13282   0.0461933
         154     1.65947     2.12975   0.0459955
         155     1.66016     2.12672   0.0457984
         156     1.66083     2.12373   0.0456021
         157     1.66147     2.12079   0.0454066
         158     1.66211     2.11788   0.0452119
         159     1.66276     2.11502   0.0450181
         160     1.66343      2.1122   0.0448251
         161     1.66412     2.10941    0.044633
         162     1.66486     2.10667   0.0444418
         163     1.66565     2.10396   0.0442514
         164     1.66652      2.1013   0.0440619
         165     1.66745     2.09867   0.0438732
         166     1.66846     2.09608   0.0436854
         167     1.66955     2.09352   0.0434984
         168     1.67071     2.09101   0.0433122
         169     1.67194     2.08853   0.0431269
         170     1.67323     2.08608   0.0429423
         171     1.67455     2.08368   0.0427586
         172     1.67591     2.08131   0.0425757
         173     1.67726     2.07897   0.0423936
         174      1.6786     2.07667   0.0422123
         175     1.67988      2.0744    0.042032
         176      1.6811     2.07217   0.0418525
         177     1.68222     2.06996    0.041674
         178     1.68321     2.06779   0.0414965
         179     1.68406     2.06565     0.04132
         180     1.68473     2.06353   0.0411446
         181     1.68522     2.06144   0.0409703
         182      1.6855     2.05938   0.0407973
         183     1.68557     2.05733   0.0406254
         184     1.68541     2.05531   0.0404549
         185     1.68502     2.05331   0.0402857
         186     1.68441     2.05133   0.0401179
         187     1.68358     2.04936   0.0399515
         188     1.68253     2.04741   0.0397866
         189     1.68128     2.04547   0.0396233
         190     1.67984     2.04355   0.0394614
         191     1.67823     2.04163   0.0393011
         192     1.67647     2.03973   0.0391424
         193     1.67458     2.03784   0.0389853
         194     1.67259     2.03596   0.0388298
         195     1.67051     2.03408   0.0386759
         196     1.66838     2.03222   0.0385235
         197     1.66621     2.03036   0.0383728
         198     1.66403     2.02851   0.0382235
         199     1.66185     2.02667   0.0380758
         200     1.65971     2.02483   0.0379296
         201     1.65762     2.02301   0.0377849
         202      1.6556     2.02119   0.0376416
         203     1.65367     2.01938   0.0374997
         204     1.65184     2.01757   0.0373591
         205     1.65013     2.01578   0.0372199
         206     1.64855       2.014   0.0370818
         207     1.64712     2.01223    0.036945
         208     1.64584     2.01047   0.0368094
         209     1.64473     2.00872   0.0366748
         210     1.64379     2.00698   0.0365413
         211     1.64304     2.00525   0.0364088
         212     1.64249     2.00354   0.0362773
         213     1.64214     2.00185   0.0361466
         214       1.642     2.00016   0.0360168
         215     1.64209      1.9985   0.0358878
         216     1.64242     1.99685   0.0357595
         217       1.643     1.99522   0.0356318
         218     1.64385     1.99361   0.0355048
         219     1.64496     1.99202   0.0353784
         220     1.64637     1.99044   0.0352524
         221     1.64807      1.9889    0.035127
         222     1.65008     1.98737   0.0350019
         223      1.6524     1.98587   0.0348771
         224     1.65504     1.98439   0.0347527
         225     1.65799     1.98294   0.0346285
         226     1.66127     1.98152   0.0345045
         227     1.66487     1.98012   0.0343807
         228     1.66876     1.97876    0.034257
         229     1.67295     1.97742   0.0341334
         230      1.6774     1.97612   0.0340099
         231     1.68211     1.97484   0.0338865
         232     1.68703      1.9736   0.0337632
         233     1.69214     1.97239   0.0336398
         234     1.69741     1.97122   0.0335166
         235      1.7028     1.97008   0.0333934
         236     1.70826     1.96897   0.0332704
