#   N_BLOCK:  ACCEPTANCE:
           1    0.415879
           2     0.41678
           3    0.417069
           4    0.416904
           5     0.41689
           6    0.417122
           7    0.417026
           8    0.417091
           9    0.417224
          10    0.416972
          11    0.416958
          12    0.416936
          13    0.417069
          14    0.417061
          15    0.417122
          16    0.417164
          17    0.417276
          18    0.417261
          19    0.417247
          20    0.417337
          21     0.41731
          22    0.417229
          23    0.417245
          24    0.417229
          25    0.417168
          26    0.417203
          27    0.417276
          28    0.417208
          29    0.417186
          30      0.4172
          31    0.417196
          32     0.41724
          33    0.417224
          34    0.417223
          35    0.417211
          36    0.417199
          37    0.417133
          38    0.417144
          39    0.417108
          40    0.417133
          41    0.417125
          42    0.417128
          43     0.41716
          44    0.417143
          45    0.417113
          46    0.417124
          47    0.417145
          48    0.417208
          49    0.417168
          50    0.417153
