#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.54573     2.54573           0
           2     2.43997     2.49285    0.037389
           3     2.52375     2.50315    0.026307
           4     2.53555     2.51125   0.0209402
           5     2.51053     2.51111   0.0167526
           6     2.59709     2.52544   0.0191322
           7     2.55143     2.52915   0.0167555
           8     2.53273      2.5296    0.014667
           9     2.45815     2.52166   0.0150332
          10     2.57961     2.52746   0.0146041
          11     2.46835     2.52208   0.0142305
          12     2.54742     2.52419   0.0132004
          13     2.49541     2.52198   0.0123694
          14     2.52037     2.52186   0.0114864
          15     2.49814     2.52028   0.0108289
          16     2.51665     2.52006   0.0101545
          17     2.50968     2.51945   0.0095755
          18      2.6184     2.52494   0.0105038
          19     2.57643     2.52765   0.0102946
          20     2.53143     2.52784   0.0097816
          21     2.46814       2.525  0.00972024
          22     2.52122     2.52483  0.00927993
          23     2.54896     2.52588  0.00893558
          24     2.60135     2.52902  0.00909988
          25     2.47204     2.52674  0.00901681
          26     2.55986     2.52802  0.00875953
          27     2.58457     2.53011  0.00868192
          28     2.51196     2.52946  0.00839601
          29     2.51226     2.52887  0.00812743
          30     2.51893     2.52854  0.00786327
          31     2.53469     2.52874  0.00761212
          32     2.54502     2.52925  0.00739122
          33     2.57044     2.53049  0.00727188
          34     2.43727     2.52775  0.00755721
          35     2.45016     2.52553  0.00765957
          36     2.60833     2.52783  0.00778442
          37     2.59206     2.52957  0.00776516
          38     2.53944     2.52983  0.00756515
          39     2.59789     2.53158  0.00756977
          40     2.60793     2.53348  0.00761741
          41     2.52006     2.53316  0.00743865
          42     2.48566     2.53203  0.00734701
          43     2.53404     2.53207  0.00717629
          44     2.68791     2.53561  0.00783866
          45     2.49537     2.53472  0.00771533
          46     2.50457     2.53406   0.0075754
          47     2.53549      2.5341  0.00741428
          48     2.56482     2.53474   0.0072874
          49     2.54419     2.53493  0.00714123
          50     2.57111     2.53565  0.00703497
