#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.292082    0.292082           0
           2    0.293745    0.292913 0.000587714
           3    0.289543     0.29179 0.000997519
           4    0.290979    0.291587 0.000768481
           5    0.289785    0.291227  0.00069413
           6    0.291025    0.291193 0.000579254
           7    0.294832    0.291713  0.00069148
           8    0.300703    0.292837   0.0012129
           9     0.29355    0.292916  0.00108071
          10      0.2992    0.293544  0.00114079
          11    0.293286    0.293521  0.00103733
          12    0.291742    0.293373 0.000961415
          13    0.304855    0.294256  0.00122789
          14    0.291889    0.294087  0.00115177
          15    0.287555    0.293651  0.00115437
          16    0.295565    0.293771   0.0010884
          17    0.289658    0.293529  0.00105093
          18    0.292849    0.293491 0.000993221
          19    0.288831    0.293246 0.000970756
          20    0.300139    0.293591 0.000981491
          21     0.29627    0.293718 0.000943011
          22    0.291641    0.293624 0.000904861
          23    0.297022    0.293772   0.0008775
          24    0.298156    0.293954 0.000859745
          25    0.294073    0.293959 0.000825369
          26    0.293672    0.293948 0.000793697
          27    0.293143    0.293918 0.000764861
          28    0.290479    0.293795 0.000747344
          29    0.296082    0.293874 0.000725722
          30    0.293612    0.293865 0.000701583
          31    0.290918     0.29377 0.000685365
          32    0.293521    0.293763 0.000663992
          33    0.286516    0.293543 0.000679213
          34    0.289672    0.293429  0.00066871
          35    0.295583    0.293491 0.000652429
          36    0.294472    0.293518 0.000634875
          37    0.302301    0.293755 0.000660608
          38    0.287426    0.293589 0.000663893
          39    0.304523    0.293869 0.000703586
          40    0.294475    0.293884 0.000686159
          41    0.290508    0.293802 0.000674347
          42    0.290517    0.293724 0.000662813
          43    0.292135    0.293687 0.000648428
          44    0.302039    0.293877 0.000660895
          45     0.29255    0.293847 0.000646866
          46    0.290558    0.293776 0.000636742
          47    0.295031    0.293802 0.000623754
          48    0.289519    0.293713 0.000617109
          49    0.290529    0.293648 0.000607926
          50    0.293249     0.29364  0.00059582
