#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.671368    0.671368           0
           2    0.437282    0.554325   0.0827619
           3    0.647996    0.585549   0.0607798
           4    0.580828    0.584368   0.0455963
           5    0.577094    0.582914   0.0365002
           6    0.721646    0.606036   0.0370231
           7    0.670458    0.615239   0.0328581
           8    0.699532    0.625775   0.0303933
           9     0.74366    0.638874   0.0297049
          10     0.71807    0.646793   0.0277701
          11    0.629544    0.645225   0.0252897
          12    0.687034    0.648709    0.023421
          13    0.646834    0.648565   0.0216199
          14    0.641082    0.648031   0.0200822
          15    0.671682    0.649607   0.0188052
          16    0.579862    0.645248    0.018128
          17    0.654778    0.645809   0.0170703
          18    0.569018    0.641543   0.0166465
          19     0.70895     0.64509    0.016144
          20    0.707026    0.648187    0.015631
          21     0.71703    0.651465   0.0152266
          22    0.713478    0.654284   0.0147931
          23    0.646882    0.653962   0.0141534
          24     0.74942     0.65794   0.0141115
          25     0.58084    0.654856   0.0138799
          26    0.731234    0.657793   0.0136534
          27    0.600386    0.655667   0.0133122
          28    0.630774    0.654778   0.0128665
          29    0.710778    0.656709   0.0125669
          30    0.627686    0.655742   0.0121851
          31    0.722352     0.65789     0.01198
          32    0.714092    0.659647   0.0117337
          33    0.679364    0.660244   0.0113933
          34     0.62414    0.659182   0.0111076
          35    0.685544    0.659936   0.0108157
          36    0.748314     0.66239   0.0107903
          37    0.746104    0.664653   0.0107333
          38    0.717992    0.666057   0.0105422
          39    0.649362    0.665629   0.0102806
          40     0.71742    0.666923   0.0101048
          41    0.567018    0.664487   0.0101479
          42    0.674506    0.664725  0.00990905
          43    0.693402    0.665392  0.00970103
          44    0.697074    0.666112  0.00950723
          45    0.742048      0.6678  0.00944453
          46    0.662586    0.667686  0.00923989
          47     0.57839    0.665786  0.00923657
          48    0.791344    0.668402  0.00940724
          49    0.720608    0.669468   0.0092754
          50    0.687934    0.669837  0.00909724
