#   N_BLOCK:  ACCEPTANCE:
           1    0.050381
           2    0.052838
           3   0.0525887
           4    0.052294
           5   0.0516436
           6   0.0504925
           7   0.0504167
           8   0.0500775
           9   0.0492968
          10   0.0486261
          11   0.0486619
          12   0.0487177
          13   0.0489426
          14    0.049324
          15   0.0494724
          16   0.0496677
          17   0.0495139
          18    0.049496
          19   0.0489843
          20   0.0489607
          21   0.0487862
          22   0.0485843
          23   0.0485986
          24   0.0483588
          25    0.048452
          26   0.0482666
          27   0.0485114
          28   0.0484632
          29    0.048413
          30   0.0483916
          31   0.0483353
          32   0.0483702
          33   0.0481304
          34   0.0481783
          35   0.0481299
          36   0.0480616
          37   0.0479431
          38     0.04774
          39   0.0477165
          40   0.0477144
          41   0.0477916
          42   0.0477593
          43   0.0477567
          44   0.0477519
          45   0.0477036
          46     0.04764
          47   0.0477933
          48   0.0476514
          49   0.0476639
          50   0.0476688
