#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.58536     3.58536           0
           2     3.56936     3.57736  0.00565685
           3     3.53437     3.56303   0.0122918
           4     3.47645     3.54138   0.0208899
           5     3.38533     3.51017   0.0325353
           6     3.66681     3.53628    0.036098
           7     3.58237     3.54286   0.0315359
           8     3.57262     3.54658   0.0278124
           9     3.56114      3.5482   0.0247691
          10     3.63653     3.55703    0.023815
          11     3.47207     3.54931   0.0228684
          12     3.51912     3.54679   0.0211006
          13     3.63071     3.55325   0.0204409
          14     3.58812     3.55574    0.019132
          15      3.5331     3.55423    0.017916
          16     3.49254     3.55037   0.0172061
          17     3.51886     3.54852   0.0162935
          18     3.58598      3.5506   0.0155206
          19     3.47268      3.5465    0.015236
          20      3.5027     3.54431   0.0146307
          21     3.66491     3.55005   0.0150189
          22     3.61156     3.55285   0.0145941
          23       3.569     3.55355   0.0139764
          24     3.49575     3.55114      0.0136
          25     3.57194     3.55197   0.0130814
          26     3.56551     3.55249   0.0125886
          27     3.63421     3.55552   0.0124809
          28     3.60669     3.55735   0.0121682
          29       3.601     3.55885   0.0118413
          30     3.73618     3.56476   0.0128375
          31     3.53046     3.56366    0.012471
          32     3.63278     3.56582   0.0122669
          33     3.46737     3.56284   0.0122525
          34     3.63394     3.56493   0.0120693
          35     3.52671     3.56383   0.0117738
          36     3.55067     3.56347   0.0114524
          37      3.7003     3.56717   0.0117248
          38     3.55476     3.56684   0.0114208
          39     3.57955     3.56717   0.0111326
          40     3.60221     3.56804   0.0108887
          41     3.64924     3.57002   0.0108017
          42     3.58835     3.57046   0.0105534
          43     3.38371     3.56612   0.0111659
          44      3.5675     3.56615   0.0109122
          45     3.69191     3.56894   0.0110218
          46      3.5354     3.56821   0.0108063
          47     3.52541      3.5673   0.0106146
          48     3.57546     3.56747   0.0103949
          49     3.56491     3.56742   0.0101829
          50     3.68855     3.56984   0.0102634
