#   N_BLOCK:  ACCEPTANCE:
           1    0.352283
           2    0.353181
           3    0.353239
           4    0.353374
           5    0.353602
           6     0.35359
           7    0.353323
           8    0.353543
           9    0.353746
          10    0.353654
          11    0.353514
          12    0.353505
          13    0.353454
          14    0.353585
          15     0.35356
          16    0.353718
          17    0.353686
          18    0.353534
          19    0.353549
          20    0.353573
          21    0.353474
          22    0.353443
          23    0.353509
          24    0.353515
          25    0.353404
          26    0.353384
          27    0.353462
          28    0.353426
          29    0.353385
          30    0.353326
          31    0.353307
          32    0.353273
          33    0.353334
          34    0.353315
          35    0.353276
          36    0.353284
          37    0.353265
          38    0.353323
          39    0.353317
          40     0.35336
          41    0.353353
          42    0.353378
          43    0.353427
          44    0.353455
          45    0.353428
          46    0.353416
          47     0.35341
          48    0.353436
          49    0.353393
          50    0.353366
