#   N_BLOCK:  ACCEPTANCE:
           1     0.49089
           2    0.491358
           3    0.490966
           4    0.490497
           5    0.490677
           6    0.490715
           7    0.490492
           8    0.490507
           9    0.490712
          10    0.490758
          11    0.490814
          12    0.490788
          13    0.490868
          14    0.490932
          15    0.490903
          16    0.490785
          17     0.49088
          18    0.490849
          19    0.490725
          20    0.490677
          21    0.490711
          22    0.490668
          23    0.490664
          24    0.490691
          25    0.490674
          26    0.490722
          27    0.490716
          28    0.490705
          29    0.490656
          30    0.490687
          31    0.490643
          32    0.490668
          33    0.490664
          34    0.490692
          35    0.490696
          36    0.490642
          37    0.490649
          38    0.490634
          39    0.490646
          40    0.490628
          41    0.490593
          42    0.490596
          43    0.490596
          44    0.490613
          45    0.490606
          46     0.49063
          47    0.490641
          48    0.490696
          49    0.490686
          50    0.490675
