#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.108914    0.108914           0
           2    0.104244    0.106579  0.00165109
           3       0.097    0.103386  0.00282992
           4    0.077406    0.096891  0.00601195
           5    0.074766    0.092466  0.00622867
           6      0.0819    0.090705   0.0054338
           7    0.085352   0.0899403  0.00471105
           8     0.11131   0.0926115  0.00482034
           9    0.089904   0.0923107  0.00429413
          10    0.088388   0.0919184  0.00388259
          11    0.086104   0.0913898  0.00356543
          12      0.0967   0.0918323  0.00329565
          13    0.091272   0.0917892  0.00304242
          14    0.106626    0.092849  0.00300402
          15    0.074326   0.0916141  0.00304701
          16    0.094014   0.0917641  0.00286026
          17    0.088572   0.0915764  0.00269816
          18    0.076332   0.0907294  0.00267788
          19    0.087402   0.0905543  0.00254266
          20    0.083606   0.0902069  0.00243915
          21     0.08376   0.0898999  0.00234224
          22    0.064696   0.0887543   0.0025003
          23    0.104536   0.0894404  0.00248396
          24     0.09231     0.08956  0.00238334
          25    0.080242   0.0891873  0.00231696
          26     0.06233   0.0881543  0.00244731
          27    0.096018   0.0884456  0.00237393
          28     0.07906   0.0881104  0.00231269
          29    0.109624   0.0888522  0.00234892
          30    0.089342   0.0888685  0.00227068
          31    0.072908   0.0883537  0.00225504
          32    0.097526   0.0886403  0.00220271
          33    0.087622   0.0886095  0.00213618
          34    0.082878   0.0884409  0.00207999
          35    0.073554   0.0880155   0.0020636
          36    0.085824   0.0879547  0.00200717
          37    0.080562   0.0877549  0.00196284
          38    0.075962   0.0874445  0.00193557
          39    0.083528   0.0873441  0.00188854
          40    0.118428   0.0881212  0.00199481
          41     0.08949   0.0881546  0.00194644
          42    0.081824   0.0880039  0.00190592
          43    0.101436   0.0883162  0.00188702
          44    0.097336   0.0885212  0.00185523
          45     0.10136   0.0888065  0.00183581
          46    0.085284     0.08873   0.0017975
          47    0.080018   0.0885446  0.00176879
          48    0.098342   0.0887487  0.00174368
          49     0.09305   0.0888365   0.0017103
          50    0.077732   0.0886144  0.00169045
