#   N_BLOCK:  ACCEPTANCE:
           1    0.439816
           2    0.441522
           3    0.440943
           4    0.440686
           5    0.440671
           6     0.44076
           7    0.440345
           8     0.44048
           9    0.440501
          10    0.440556
          11    0.440457
          12    0.440342
          13    0.440368
          14    0.440427
          15    0.440453
          16    0.440403
          17    0.440393
          18    0.440323
          19    0.440221
          20    0.440217
          21     0.44021
          22     0.44021
          23    0.440178
          24    0.440193
          25     0.44017
          26    0.440269
          27    0.440342
          28    0.440291
          29     0.44027
          30    0.440282
          31    0.440264
          32     0.44024
          33    0.440248
          34    0.440234
          35    0.440242
          36    0.440225
          37    0.440218
          38    0.440225
          39    0.440229
          40    0.440224
          41    0.440182
          42    0.440169
          43    0.440204
          44    0.440192
          45      0.4402
          46    0.440198
          47    0.440205
          48    0.440277
          49    0.440261
          50    0.440264
