#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     45.3876     45.3876           0
           2     44.6457     45.0167    0.262318
           3     40.2456     43.4263     1.31025
           4      38.764     42.2607     1.40875
           5      40.254     41.8594     1.18279
           6     44.9383     42.3726     1.09131
           7     45.2374     42.7818     1.00924
           8     37.9411     42.1767      1.0489
           9     45.6726     42.5652      1.0017
          10     45.9475     42.9034    0.956933
          11     42.4214     42.8596    0.870941
          12     43.6576     42.9261    0.800898
          13     52.6072     43.6708     1.02882
          14     39.0841     43.3432     1.00614
          15     48.3246     43.6753    0.992361
          16     46.5582     43.8554    0.946555
          17     47.8016     44.0876    0.918897
          18     38.9939     43.8046    0.910378
          19     41.1136      43.663    0.873411
          20     49.1315     43.9364    0.871489
          21     42.8587     43.8851    0.831499
          22     45.2731     43.9482    0.796094
          23     46.4729     44.0579    0.769012
          24     42.4637     43.9915    0.739833
          25     47.7055     44.1401    0.725002
          26     43.1652     44.1026    0.698086
          27     48.3117     44.2585    0.689418
          28     41.6956     44.1669    0.670845
          29     41.0549     44.0596    0.656239
          30     41.1282     43.9619    0.641598
          31     42.6592     43.9199    0.622276
          32     43.7416     43.9143    0.602855
          33     46.0252     43.9783     0.58797
          34     44.2986     43.9877    0.570752
          35     46.5652     44.0613    0.559176
          36     45.4095     44.0988    0.544896
          37     49.5514     44.2462    0.549736
          38     37.7357     44.0748    0.561332
          39      40.706     43.9885    0.553545
          40     48.3742     44.0981    0.550458
          41     48.8135     44.2131    0.548916
          42     45.8584     44.2523    0.537242
          43     36.7052     44.0768    0.552675
          44     39.5251     43.9733     0.54971
          45     44.5179     43.9854    0.537628
          46      48.362     44.0806    0.534293
          47     41.8558     44.0332    0.525017
          48     47.9784     44.1154    0.520473
          49     48.5788     44.2065    0.517761
          50     45.8901     44.2402    0.508499
