#   N_BLOCK:  ACCEPTANCE:
           1     0.46975
           2    0.471396
           3     0.47154
           4    0.471474
           5    0.471605
           6    0.471865
           7    0.471717
           8    0.471746
           9    0.472069
          10    0.472015
          11    0.472039
          12    0.471999
          13    0.472087
          14    0.472047
          15    0.472065
          16    0.471962
          17    0.471928
          18    0.471878
          19    0.471766
          20    0.471718
          21    0.471644
          22    0.471622
          23    0.471685
          24    0.471728
          25    0.471727
          26    0.471797
          27    0.471857
          28    0.471843
          29    0.471783
          30    0.471783
          31    0.471751
          32    0.471725
          33    0.471691
          34    0.471692
          35    0.471696
          36     0.47166
          37     0.47162
          38    0.471629
          39    0.471623
          40    0.471616
          41    0.471555
          42    0.471562
          43    0.471576
          44    0.471579
          45    0.471571
          46    0.471598
          47    0.471595
          48    0.471629
          49    0.471597
          50    0.471573
