#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.249878    0.249878           0
           2    0.247753    0.248816 0.000751322
           3     0.24601    0.247881 0.000913297
           4    0.244833    0.247119 0.000951068
           5    0.247555    0.247206 0.000764846
           6    0.249478    0.247585 0.000725063
           7    0.243037    0.246935 0.000864847
           8    0.251901    0.247556 0.000953845
           9    0.245831    0.247364 0.000866907
          10    0.248288    0.247456 0.000785128
          11    0.247556    0.247465 0.000713806
          12    0.255569    0.248141 0.000919864
          13    0.250391    0.248314 0.000865241
          14    0.252919    0.248643 0.000863697
          15    0.248191    0.248613 0.000806643
          16    0.248581    0.248611  0.00075623
          17    0.244753    0.248384 0.000745009
          18    0.245201    0.248207 0.000724298
          19    0.250129    0.248308 0.000693207
          20     0.24913    0.248349 0.000659765
          21    0.251098     0.24848 0.000641196
          22    0.246771    0.248402 0.000616737
          23    0.248665    0.248414 0.000590029
          24    0.252181    0.248571 0.000585953
          25    0.245874    0.248463 0.000572355
          26     0.25887    0.248863  0.00067596
          27     0.24698    0.248794 0.000654514
          28    0.251118    0.248877 0.000636381
          29    0.247096    0.248815 0.000617392
          30    0.251228    0.248896 0.000602029
          31    0.248202    0.248873 0.000583024
          32    0.250253    0.248916 0.000566396
          33    0.248435    0.248902  0.00054942
          34    0.251507    0.248978 0.000538577
          35     0.25331    0.249102 0.000537222
          36    0.249023      0.2491 0.000522303
          37    0.250793    0.249146 0.000510188
          38    0.246803    0.249084 0.000500474
          39    0.252952    0.249183 0.000497372
          40    0.246541    0.249117 0.000489303
          41    0.244299       0.249  0.00049128
          42     0.24568    0.248921   0.0004859
          43    0.248849    0.248919 0.000474603
          44    0.252758    0.249006 0.000471768
          45    0.252317     0.24908 0.000466985
          46    0.247962    0.249055 0.000457466
          47    0.251232    0.249102 0.000450071
          48    0.248435    0.249088 0.000440909
          49    0.250572    0.249118  0.00043295
          50    0.250202     0.24914 0.000424833
