#   N_BLOCK:  ACCEPTANCE:
           1      0.5137
           2    0.513699
           3    0.513302
           4    0.513215
           5    0.513281
           6     0.51322
           7    0.512952
           8    0.513059
           9    0.513061
          10    0.513122
          11    0.513133
          12     0.51309
          13    0.513155
          14    0.513246
          15    0.513165
          16    0.513012
          17    0.512984
          18    0.512944
          19    0.512907
          20    0.512912
          21    0.512877
          22     0.51286
          23    0.512882
          24    0.512926
          25     0.51294
          26     0.51301
          27    0.513079
          28    0.513091
          29    0.513059
          30    0.513107
          31    0.513076
          32     0.51313
          33    0.513097
          34    0.513085
          35    0.513071
          36    0.513048
          37    0.513057
          38    0.513058
          39    0.513039
          40    0.513061
          41    0.513015
          42    0.512991
          43    0.513004
          44    0.513003
          45    0.512971
          46    0.512966
          47    0.512984
          48    0.513004
          49    0.513006
          50    0.513025
