#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.030226    0.030226           0
           2    0.035672    0.032949  0.00192545
           3    0.022564   0.0294873  0.00310427
           4    0.027816   0.0290695  0.00235615
           5     0.03824   0.0309036  0.00249881
           6    0.031832   0.0310583  0.00208713
           7     0.03244   0.0312557  0.00179828
           8    0.030654   0.0311805  0.00157507
           9    0.026294   0.0306376   0.0014907
          10    0.019152    0.029489  0.00172836
          11    0.026926    0.029256  0.00158687
          12    0.027442   0.0291048  0.00146181
          13    0.021028   0.0284835   0.0014755
          14    0.032086   0.0287409  0.00139236
          15    0.031244   0.0289077   0.0013095
          16    0.033728    0.029209  0.00126184
          17    0.029974    0.029254  0.00118841
          18    0.028378   0.0292053  0.00112339
          19    0.035434   0.0295332  0.00111106
          20    0.025592   0.0293361  0.00107284
          21    0.038298   0.0297629  0.00110337
          22    0.034236   0.0299662  0.00107179
          23    0.035764   0.0302183  0.00105442
          24    0.036918   0.0304974  0.00104678
          25    0.032548   0.0305794  0.00100812
          26    0.031794   0.0306262  0.00097043
          27    0.025594   0.0304398 0.000952217
          28    0.031446   0.0304757 0.000918887
          29    0.034898   0.0306282 0.000899766
          30    0.030276   0.0306165  0.00086985
          31    0.033728   0.0307168 0.000847562
          32    0.029936   0.0306924 0.000821426
          33    0.030768   0.0306947 0.000796538
          34    0.029254   0.0306524 0.000774237
          35    0.030558   0.0306497  0.00075212
          36    0.028206   0.0305818 0.000734285
          37    0.029328   0.0305479 0.000715221
          38    0.032434   0.0305975 0.000698119
          39    0.037742   0.0307807 0.000703844
          40    0.031384   0.0307958 0.000686409
          41    0.023654   0.0306216 0.000691417
          42    0.036696   0.0307662 0.000689915
          43    0.027794   0.0306971 0.000677324
          44    0.029566   0.0306714 0.000662418
          45    0.031552    0.030691 0.000647987
          46    0.036978   0.0308277 0.000648154
          47    0.033744   0.0308897 0.000637326
          48    0.033596   0.0309461 0.000626538
          49    0.044236   0.0312173 0.000669889
          50    0.026134   0.0311156 0.000664161
