#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.939368   -0.939368           0
           2    -0.93752   -0.938444 0.000653367
           3   -0.927684   -0.934857  0.00296072
           4   -0.928168   -0.933185   0.0026511
           5   -0.933576   -0.933263  0.00212203
           6   -0.937068   -0.933897   0.0018607
           7   -0.930844   -0.933461  0.00164522
           8   -0.933232   -0.933432  0.00143981
           9   -0.937108   -0.933841   0.0013365
          10    -0.93932   -0.934389  0.00131035
          11     -0.9292   -0.933917  0.00127331
          12     -0.9366   -0.934141  0.00118667
          13   -0.937204   -0.934376  0.00111853
          14   -0.931348    -0.93416  0.00105935
          15    -0.93134   -0.933972  0.00100527
          16   -0.939872   -0.934341   0.0010078
          17   -0.934696   -0.934362 0.000948738
          18   -0.931508   -0.934203  0.00090918
          19     -0.9359   -0.934292 0.000865704
          20   -0.937812   -0.934468 0.000840115
          21   -0.934492    -0.93447  0.00080011
          22   -0.936264   -0.934551 0.000767888
          23   -0.929448   -0.934329 0.000765885
          24    -0.93492   -0.934354 0.000734369
          25   -0.937656   -0.934486 0.000716774
          26    -0.93274   -0.934419 0.000692344
          27   -0.938504    -0.93457 0.000683035
          28   -0.933172    -0.93452 0.000660463
          29   -0.934352   -0.934514 0.000637714
          30   -0.933504   -0.934481 0.000617346
          31   -0.931256   -0.934377 0.000606132
          32   -0.931716   -0.934293 0.000592865
          33   -0.934268   -0.934293   0.0005749
          34   -0.933364   -0.934265  0.00055864
          35    -0.93816   -0.934377  0.00055365
          36   -0.933756   -0.934359 0.000538539
          37     -0.9351   -0.934379 0.000524356
          38   -0.942528   -0.934594 0.000552667
          39    -0.93556   -0.934619 0.000539051
          40   -0.933364   -0.934587 0.000526487
          41   -0.932812   -0.934544 0.000515423
          42   -0.934072   -0.934533 0.000503273
          43    -0.93654   -0.934579  0.00049373
          44   -0.931744   -0.934515 0.000486696
          45   -0.932852   -0.934478 0.000477281
          46    -0.93776   -0.934549 0.000472208
          47   -0.933648    -0.93453  0.00046255
          48   -0.934756   -0.934535 0.000452938
          49   -0.932448   -0.934492 0.000445692
          50    -0.93064   -0.934415 0.000443388
