#   N_BLOCK:  ACCEPTANCE:
           1    0.060666
           2     0.06174
           3   0.0650907
           4   0.0668157
           5   0.0667022
           6   0.0660507
           7   0.0664901
           8   0.0664949
           9   0.0661159
          10   0.0656117
          11   0.0660776
          12   0.0658148
          13   0.0655755
          14   0.0658136
          15   0.0660185
          16   0.0656712
          17   0.0656409
          18   0.0658125
          19   0.0657154
          20   0.0655548
          21   0.0655603
          22   0.0654871
          23   0.0656911
          24   0.0656603
          25   0.0655316
          26    0.065602
          27   0.0654474
          28   0.0655029
          29    0.065518
          30   0.0655543
          31   0.0656424
          32   0.0657204
          33   0.0657282
          34   0.0657413
          35   0.0656229
          36   0.0656437
          37   0.0656309
          38   0.0654182
          39   0.0653837
          40   0.0654134
          41   0.0654505
          42   0.0654709
          43   0.0654282
          44   0.0654918
          45   0.0655263
          46   0.0654592
          47   0.0654736
          48   0.0654666
          49   0.0655065
          50   0.0655853
