#   N_BLOCK:  ACCEPTANCE:
           1    0.411143
           2    0.412515
           3    0.412261
           4    0.411737
           5    0.411992
           6    0.412239
           7    0.412123
           8    0.412316
           9    0.412357
          10    0.412184
          11    0.412069
          12    0.412057
          13    0.412133
          14    0.412276
          15    0.412279
          16    0.412254
          17    0.412344
          18     0.41227
          19    0.412136
          20    0.412192
          21    0.412137
          22    0.412085
          23    0.412107
          24    0.412069
          25    0.412006
          26    0.412035
          27    0.412136
          28    0.412118
          29    0.412098
          30    0.412111
          31    0.412068
          32    0.412075
          33    0.412107
          34    0.412103
          35    0.412099
          36     0.41211
          37    0.412087
          38    0.412088
          39    0.412076
          40    0.412086
          41    0.412118
          42    0.412115
          43    0.412117
          44    0.412096
          45    0.412077
          46    0.412099
          47    0.412105
          48    0.412159
          49    0.412145
          50    0.412114
