#   N_BLOCK:  ACCEPTANCE:
           1     0.34756
           2    0.348743
           3     0.34878
           4    0.348733
           5    0.348439
           6    0.348371
           7    0.348141
           8    0.348282
           9    0.348534
          10     0.34814
          11    0.348137
          12    0.348171
          13    0.348036
          14    0.348147
          15     0.34807
          16    0.348064
          17    0.348074
          18    0.347942
          19    0.347948
          20    0.347996
          21     0.34791
          22    0.347903
          23    0.347949
          24    0.347972
          25    0.347804
          26    0.347771
          27    0.347833
          28    0.347742
          29    0.347761
          30    0.347719
          31    0.347747
          32    0.347672
          33    0.347745
          34    0.347718
          35    0.347699
          36    0.347689
          37    0.347669
          38    0.347654
          39     0.34761
          40    0.347648
          41    0.347681
          42    0.347683
          43    0.347729
          44    0.347775
          45    0.347708
          46    0.347719
          47    0.347739
          48    0.347755
          49    0.347737
          50    0.347725
