#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.073886    0.073886           0
           2    0.074208    0.074047 0.000113844
           3    0.058172   0.0687553  0.00432129
           4     0.06464   0.0677265  0.00336121
           5    0.073158   0.0688128  0.00285913
           6     0.08042   0.0707473  0.00296572
           7    0.071118   0.0708003  0.00254252
           8    0.062728   0.0697913  0.00241665
           9    0.074446   0.0703084  0.00220278
          10    0.074562   0.0707338  0.00202315
          11    0.066404   0.0703402  0.00187713
          12    0.058482    0.069352  0.00196366
          13    0.070582   0.0694466  0.00181488
          14    0.083508    0.070451   0.0019434
          15    0.072832   0.0706097  0.00182031
          16    0.069344   0.0705306  0.00170826
          17    0.068234   0.0703955  0.00161311
          18    0.064678   0.0700779  0.00155445
          19    0.075406   0.0703583  0.00149772
          20     0.06775   0.0702279   0.0014285
          21    0.051046   0.0693145   0.0016265
          22    0.063456   0.0690482  0.00157422
          23     0.05575     0.06847  0.00160845
          24    0.068566    0.068474  0.00154144
          25    0.066828   0.0684082  0.00148118
          26    0.062716   0.0681892   0.0014403
          27     0.07484   0.0684356  0.00140786
          28    0.070854   0.0685219  0.00136023
          29    0.064998   0.0684004  0.00131874
          30    0.052416   0.0678676  0.00137822
          31    0.052134   0.0673601  0.00142415
          32    0.078964   0.0677227  0.00142507
          33    0.073882   0.0679093  0.00139405
          34    0.076836   0.0681719  0.00137755
          35    0.081194   0.0685439  0.00138753
          36    0.078874   0.0688309  0.00137834
          37    0.078424   0.0690902  0.00136525
          38    0.077452   0.0693102  0.00134694
          39      0.0635   0.0691612  0.00132062
          40    0.074218   0.0692877  0.00129364
          41    0.065284     0.06919  0.00126577
          42    0.079162   0.0694274   0.0012577
          43    0.072104   0.0694897  0.00122999
          44    0.071334   0.0695316  0.00120275
          45    0.070818   0.0695602  0.00117636
          46    0.072862    0.069632  0.00115298
          47    0.062726    0.069485  0.00113777
          48    0.062368   0.0693368  0.00112369
          49    0.078334   0.0695204  0.00111566
          50    0.074736   0.0696247  0.00109821
