#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.4008     10.4008           0
           2     9.28976     9.84527    0.392806
           3     9.92849     9.87301    0.262848
           4     9.73587     9.83872     0.19936
           5     10.7481     10.0206    0.227818
           6     10.5129     10.1027    0.204091
           7     9.55863     10.0249    0.189155
           8     10.6971      10.109    0.183225
           9     10.7273     10.1777    0.175273
          10     10.2307      10.183    0.157826
          11     10.0447     10.1704    0.143978
          12     10.0673     10.1618    0.132236
          13     8.84105     10.0602    0.156293
          14     10.7605     10.1102    0.152924
          15     10.0515     10.1063    0.142779
          16     10.6076     10.1376     0.13725
          17     10.5455     10.1616    0.131256
          18     9.33856     10.1159    0.131689
          19     10.7929     10.1515    0.129488
          20     8.32181       10.06    0.151933
          21     10.0829     10.0611    0.144702
          22     10.1812     10.0666    0.138228
          23     9.42651     10.0388     0.13499
          24     8.90233     9.99141     0.13742
          25     10.6459     10.0176    0.134394
          26     10.7071     10.0441    0.131815
          27     10.2207     10.0507    0.127095
          28     10.5993     10.0702    0.124058
          29     9.62788      10.055    0.120714
          30     10.4152      10.067    0.117286
          31     10.5917     10.0839    0.114717
          32     10.3564     10.0924    0.111448
          33     10.1802     10.0951    0.108102
          34     10.3039     10.1012    0.105097
          35     11.0513     10.1284    0.105542
          36     9.92548     10.1228     0.10276
          37     10.7341     10.1393    0.101303
          38     10.1016     10.1383   0.0986417
          39      9.8445     10.1307   0.0963996
          40      10.639     10.1435   0.0948233
          41     11.2611     10.1707   0.0963492
          42     10.6499     10.1821   0.0947282
          43     10.8237      10.197   0.0936929
          44      10.713     10.2088   0.0922945
          45     10.4961     10.2152    0.090464
          46     10.4837      10.221   0.0886855
          47      10.049     10.2173   0.0868741
          48     10.2513      10.218   0.0850671
          49       10.43     10.2224   0.0834409
          50     10.2533      10.223   0.0817744
