# generation best_length mean_best_half
137 114.3054247582 120.0977102863
138 114.0547254739 119.4837395108
139 113.6366106318 119.2452194944
140 113.4082590838 119.1133030140
141 113.4082590838 119.0407010251
142 112.7789093242 119.9029534200
143 112.7476216075 120.1612078543
144 111.4876437366 119.9915698915
145 111.4876437366 120.0246589836
146 110.5751890923 120.4243212366
147 110.5751890923 118.5595725719
148 110.5751890923 117.7322273117
149 110.3908995052 116.6456502693
150 102.3832001638 116.7705360912
151 102.3832001638 116.1249166819
152 102.3832001638 115.3271796171
153 102.3832001638 115.4777570401
154 102.0212413543 115.1455461833
155 102.0212413543 113.3112372556
156 102.0212413543 111.8147216549
157 101.8077578899 110.0125481348
158 101.3625303346 108.9373091967
159 100.7870880607 107.1485562930
160 100.3353676541 106.2391218579
161 99.7599253802 105.5474423316
162 99.5630350878 104.7979047329
163 98.9875928139 104.1094368966
164 98.6547035921 104.9840480573
165 98.6547035921 103.7264142948
166 97.8823710258 102.7281769051
167 97.8823710258 102.2682062923
168 97.3355592256 101.9162930250
169 97.3177524148 101.7368214814
170 97.3177524148 101.5329971806
171 97.2623558088 101.0957115769
172 97.2203668179 101.5573950851
173 96.6987721788 101.2112577847
174 96.6987721788 100.7387144259
175 96.3193443819 100.8666728595
176 95.9909786665 100.8899572256
177 95.9909786665 100.8382840344
178 95.9489896756 100.7115325065
179 95.2128232035 100.5606321908
180 95.2128232035 100.9377002541
181 94.7244806227 101.5124377057
182 94.7244806227 102.5481388503
183 94.7244806227 103.2730803043
184 94.7244806227 104.9866462235
185 94.5710509415 105.4675698125
186 94.5710509415 105.0194870089
187 94.5710509415 105.2901956535
188 94.5710509415 103.7129506044
189 94.5710509415 102.3195652315
190 94.5710509415 101.1204393541
191 94.4438784758 100.4506711922
192 94.3011478936 99.9248880336
193 94.3011478936 99.3682765306
194 93.5715191983 98.6191373292
195 93.5447298094 98.4140844307
196 92.4488443264 97.6190141887
197 92.4488443264 97.1162744064
198 92.1280459101 96.5805331230
199 92.1280459101 96.1410608374
200 91.1224882784 95.6505953503
201 90.8016898621 95.4036592132
202 89.9145816381 95.4657916368
