# generation best_length mean_best_half
137 121.0033327441 127.2602213812
138 119.5971264669 126.0109998689
139 119.4544520068 125.3992606709
140 119.2984156116 124.4791768065
141 117.8356200917 123.6658579497
142 117.8356200917 123.1719081020
143 117.8356200917 122.4804328017
144 114.5656190319 122.1983639334
145 114.5656190319 122.1356846615
146 114.5656190319 122.6451561801
147 114.1868933566 122.1737763475
148 114.1868933566 122.6656180706
149 114.1868933566 123.1753524664
150 113.5077343315 123.8927891855
151 113.2274554362 123.1588330314
152 112.8811147008 121.5554287341
153 111.9216767805 120.6346171405
154 111.9216767805 120.0186400070
155 111.2263230610 118.4182715371
156 111.2263230610 117.8161448998
157 111.1855642376 116.8566332826
158 110.8475629519 116.7655753263
159 110.2096134829 115.7950367392
160 109.5479536684 115.1666189260
161 109.5479536684 115.2480643143
162 109.5479536684 114.1548671443
163 108.9857421808 113.6139609305
164 108.6069820718 114.3047564239
165 108.0472330548 113.3105317804
166 108.0472330548 112.5741441705
167 107.6396528879 112.0742693767
168 106.7652594780 111.7283193139
169 105.8267503519 111.8677110892
170 105.8267503519 111.8039907287
171 105.8267503519 111.3761225736
172 104.7982869401 111.6302353210
173 104.7982869401 111.0912621989
174 104.6517311469 110.1598100634
175 104.6517311469 109.9062934514
176 104.2455251606 109.0437419418
177 104.0989693675 108.9193692638
178 103.8534816694 108.7627068220
179 102.9786469688 108.7781661281
180 102.9786469688 109.3472352143
181 102.9786469688 109.4464161528
182 102.9786469688 109.7212082242
183 102.9786469688 109.1582821891
184 101.6950054488 109.0417467634
185 101.6950054488 107.9779300317
186 101.2499141228 106.9669713163
187 100.9301269262 106.0815055192
188 99.0552068539 105.5992340385
189 99.0552068539 105.2447215771
190 98.2903283313 105.3506615634
191 98.2903283313 105.5919122503
192 98.2903283313 106.1124612772
193 97.9735444033 105.9291669716
194 97.9735444033 105.5003450872
195 97.9735444033 104.8195214843
196 97.7532001950 103.7887267868
197 97.7532001950 102.6410969615
198 97.6970055682 101.7511236245
199 97.3802216402 101.0650556670
200 96.3744951146 100.4874981958
201 96.2712307587 99.8446870851
