0 0
1 65
2 97
3 96
4 61
5 18
6 21
7 86
8 63
9 87
10 62
11 109
12 94
13 81
14 83
15 45
16 37
17 44
18 51
19 2
20 68
21 69
22 82
23 36
24 78
25 14
26 57
27 73
28 76
29 34
30 4
31 89
32 40
33 48
34 72
35 50
36 53
37 43
38 71
39 67
40 38
41 88
42 41
43 30
44 95
45 3
46 104
47 102
48 60
49 105
50 13
51 6
52 1
53 56
54 58
55 26
56 47
57 12
58 49
59 28
60 66
61 80
62 52
63 106
64 16
65 91
66 15
67 98
68 108
69 64
70 33
71 84
72 103
73 99
74 10
75 74
76 101
77 39
78 100
79 32
80 5
81 93
82 70
83 25
84 42
85 22
86 59
87 11
88 20
89 35
90 7
91 85
92 75
93 54
94 9
95 8
96 92
97 17
98 46
99 29
100 27
101 24
102 107
103 55
104 79
105 23
106 90
107 77
108 31
109 19
110 0
