0 0
1 19
2 31
3 77
4 90
5 23
6 79
7 55
8 107
9 24
10 29
11 46
12 17
13 92
14 8
15 54
16 75
17 9
18 35
19 20
20 42
21 25
22 70
23 93
24 5
25 32
26 51
27 2
28 69
29 82
30 36
31 78
32 33
33 14
34 57
35 76
36 34
37 73
38 72
39 50
40 53
41 43
42 71
43 28
44 66
45 80
46 52
47 106
48 108
49 64
50 84
51 103
52 100
53 39
54 101
55 74
56 99
57 10
58 15
59 98
60 16
61 91
62 12
63 49
64 56
65 58
66 47
67 26
68 102
69 104
70 60
71 105
72 13
73 3
74 95
75 30
76 6
77 1
78 67
79 38
80 88
81 41
82 87
83 63
84 86
85 21
86 18
87 96
88 61
89 62
90 48
91 40
92 89
93 4
94 68
95 94
96 109
97 83
98 81
99 44
100 45
101 37
102 22
103 59
104 11
105 7
106 85
107 27
108 65
109 97
110 0
