0 0
1 19
2 31
3 77
4 90
5 23
6 79
7 55
8 107
9 24
10 29
11 27
12 54
13 92
14 46
15 17
16 8
17 9
18 75
19 85
20 7
21 35
22 20
23 11
24 59
25 22
26 42
27 25
28 70
29 44
30 37
31 45
32 83
33 109
34 68
35 94
36 81
37 93
38 5
39 32
40 51
41 2
42 69
43 82
44 36
45 78
46 33
47 14
48 57
49 80
50 66
51 52
52 106
53 108
54 64
55 84
56 103
57 100
58 39
59 101
60 74
61 99
62 10
63 15
64 98
65 16
66 91
67 12
68 28
69 71
70 49
71 67
72 56
73 58
74 47
75 26
76 102
77 104
78 60
79 105
80 13
81 3
82 95
83 30
84 41
85 88
86 6
87 1
88 38
89 43
90 53
91 50
92 72
93 73
94 76
95 34
96 4
97 89
98 40
99 48
100 62
101 87
102 63
103 86
104 21
105 18
106 61
107 96
108 97
109 65
110 0
