# rank best_length mean_best_half
0 64.5937708138 67.8503911810
1 64.5937708138 68.2398472754
2 64.5937708138 67.6241306874
3 64.5937708138 68.3829618271
4 64.5937708138 67.5757028429
5 64.5937708138 67.2942456306
6 64.5937708138 68.0915926956
7 64.5937708138 67.4052903342
8 64.5937708138 67.3136411666
9 64.5937708138 67.1943365008
10 64.5937708138 67.5884293418
