0 0
1 19
2 31
3 77
4 90
5 23
6 79
7 55
8 107
9 24
10 27
11 29
12 46
13 17
14 92
15 8
16 9
17 54
18 75
19 85
20 7
21 35
22 20
23 25
24 70
25 44
26 93
27 5
28 32
29 51
30 2
31 69
32 82
33 36
34 78
35 84
36 103
37 100
38 39
39 101
40 74
41 10
42 99
43 64
44 33
45 14
46 34
47 76
48 73
49 72
50 50
51 53
52 66
53 80
54 57
55 52
56 106
57 108
58 98
59 15
60 91
61 16
62 12
63 47
64 26
65 58
66 56
67 67
68 49
69 28
70 71
71 43
72 38
73 1
74 88
75 6
76 13
77 105
78 60
79 102
80 104
81 3
82 95
83 30
84 41
85 87
86 63
87 86
88 21
89 18
90 96
91 61
92 62
93 48
94 40
95 89
96 4
97 68
98 109
99 94
100 81
101 83
102 45
103 37
104 42
105 11
106 22
107 59
108 97
109 65
110 0
