# rank best_length mean_best_half
0 68.0171350626 71.1618334650
1 71.1801429426 75.2139578005
2 68.6503113487 71.5160904830
3 69.0189991112 73.2869321490
4 72.4567849298 76.0935265735
5 70.6726932307 73.5589326312
6 70.1724565558 74.1079782987
7 68.9361458179 71.7042053322
8 68.7793144375 71.1280655678
9 71.0681745455 73.9237864904
10 69.5339715569 72.8153747407
