#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.613876   -0.613876           0
           2    -0.61114   -0.612508 0.000967322
           3   -0.612476   -0.612497  0.00064494
           4   -0.616164   -0.613414 0.000929612
           5   -0.611812   -0.613094 0.000796994
           6   -0.612888   -0.613059 0.000664898
           7    -0.61264   -0.612999 0.000572605
           8   -0.611788   -0.612848 0.000520667
           9   -0.611564   -0.612705 0.000481965
          10   -0.613492   -0.612784 0.000440142
          11   -0.612716   -0.612778 0.000400172
          12   -0.613756   -0.612859 0.000375035
          13   -0.612248   -0.612812 0.000349122
          14   -0.612572   -0.612795 0.000324606
          15    -0.61146   -0.612706 0.000314933
          16   -0.612368   -0.612685 0.000295958
          17   -0.611968   -0.612643 0.000281538
          18   -0.616208   -0.612841 0.000328255
          19   -0.613808   -0.612892 0.000314901
          20   -0.611068   -0.612801  0.00031208
          21   -0.615452   -0.612927 0.000321746
          22   -0.614584   -0.613002 0.000315816
          23   -0.612292   -0.612971  0.00030359
          24   -0.614436   -0.613032 0.000297012
          25   -0.614632   -0.613096 0.000291942
          26   -0.614808   -0.613162 0.000288041
          27   -0.611296   -0.613093 0.000285545
          28   -0.615324   -0.613173 0.000286247
          29   -0.612776   -0.613159 0.000276704
          30   -0.613708   -0.613177 0.000268084
          31   -0.614264   -0.613212 0.000261718
          32   -0.614896   -0.613265 0.000258774
          33   -0.611864   -0.613223 0.000254391
          34   -0.614884   -0.613271 0.000251559
          35   -0.612504   -0.613249 0.000245325
          36   -0.613632    -0.61326  0.00023874
          37   -0.613424   -0.613265 0.000232329
          38   -0.612796   -0.613252 0.000226542
          39   -0.613576   -0.613261 0.000220885
          40   -0.613572   -0.613268   0.0002155
          41   -0.611972   -0.613237 0.000212551
          42   -0.612552    -0.61322 0.000208114
          43   -0.612364     -0.6132 0.000204225
          44   -0.613172     -0.6132 0.000199585
          45   -0.613292   -0.613202  0.00019516
          46   -0.613968   -0.613219 0.000191627
          47   -0.612156   -0.613196 0.000188878
          48   -0.611936    -0.61317 0.000186758
          49   -0.615412   -0.613215  0.00018847
          50   -0.613748   -0.613226 0.000185002
