#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.312305    0.312305           0
           2    0.317153    0.314729  0.00171405
           3    0.314046    0.314501  0.00115771
           4    0.312625    0.314032 0.000958614
           5    0.312563    0.313738 0.000810644
           6    0.318293    0.314497 0.000967823
           7    0.321981    0.315566   0.0012915
           8    0.317051    0.315752  0.00114332
           9    0.317919    0.315993  0.00104133
          10    0.314532    0.315847 0.000947391
          11    0.322969    0.316494  0.00105966
          12    0.314707    0.316345 0.000981764
          13    0.322377    0.316809  0.00100995
          14    0.312695    0.316515 0.000979648
          15    0.313229    0.316296 0.000938514
          16    0.315886    0.316271 0.000880208
          17    0.320558    0.316523 0.000863811
          18    0.311078     0.31622 0.000867168
          19     0.31401    0.316104 0.000829296
          20    0.319136    0.316256  0.00080157
          21    0.315697    0.316229 0.000763842
          22    0.324452    0.316603 0.000815453
          23     0.31795    0.316661 0.000782099
          24     0.32292    0.316922   0.0007918
          25      0.3188    0.316997 0.000763681
          26    0.321067    0.317154 0.000750183
          27    0.315031    0.317075 0.000726508
          28    0.317005    0.317073 0.000700565
          29    0.316065    0.317038  0.00067727
          30    0.320096     0.31714 0.000662322
          31    0.314712    0.317062 0.000645572
          32    0.315172    0.317002 0.000628092
          33     0.32036    0.317104 0.000617246
          34    0.314602    0.317031 0.000603464
          35    0.317448    0.317043  0.00058634
          36     0.32468    0.317255  0.00060722
          37    0.321705    0.317375 0.000602603
          38    0.317872    0.317388 0.000586887
          39    0.321323    0.317489 0.000580446
          40    0.322297    0.317609 0.000578246
          41    0.321789    0.317711 0.000573057
          42    0.315115    0.317649 0.000562736
          43    0.313676    0.317557 0.000557184
          44    0.316545    0.317534 0.000544995
          45     0.31106     0.31739 0.000551544
          46    0.318974    0.317424 0.000540627
          47    0.319161    0.317461 0.000530386
          48     0.31248    0.317358 0.000529392
          49    0.316169    0.317333 0.000519144
          50    0.317309    0.317333 0.000508761
