#   N_BLOCK:  ACCEPTANCE:
           1     0.38584
           2    0.386385
           3    0.386656
           4    0.386329
           5    0.386724
           6    0.386872
           7    0.386999
           8    0.387125
           9    0.387195
          10    0.386981
          11    0.387061
          12    0.387039
          13    0.387078
          14    0.387115
          15     0.38722
          16    0.387221
          17     0.38723
          18    0.387074
          19    0.387028
          20    0.387099
          21    0.386997
          22    0.386942
          23    0.386952
          24    0.386906
          25    0.386817
          26    0.386771
          27    0.386839
          28    0.386764
          29    0.386744
          30    0.386717
          31     0.38671
          32    0.386688
          33     0.38672
          34    0.386675
          35    0.386667
          36    0.386639
          37    0.386626
          38    0.386629
          39    0.386619
          40    0.386613
          41     0.38664
          42    0.386637
          43    0.386675
          44    0.386684
          45    0.386668
          46    0.386659
          47    0.386685
          48    0.386713
          49    0.386659
          50    0.386662
