#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.95747     2.95747           0
           2     2.95628     2.95688 0.000421234
           3     2.91788     2.94388   0.0106178
           4     2.96823     2.94997  0.00955091
           5     2.82537     2.92505   0.0235627
           6     3.01604     2.94021   0.0240256
           7     2.92549     2.93811   0.0206852
           8     2.98923      2.9445   0.0190609
           9     2.85487     2.93454   0.0193706
          10     2.93229     2.93432   0.0174348
          11     2.93904     2.93475   0.0158551
          12     2.94197     2.93535   0.0145453
          13     2.97258     2.93821   0.0137055
          14      2.8943     2.93508   0.0130805
          15     2.80768     2.92658   0.0147095
          16     2.90622     2.92531   0.0138451
          17     2.91974     2.92498   0.0130346
          18     3.01455     2.92996   0.0132262
          19     2.95782     2.93142   0.0126111
          20      2.8321     2.92646   0.0129215
          21     2.99241      2.9296   0.0126821
          22     2.98581     2.93215   0.0123604
          23     2.99558     2.93491   0.0121267
          24      3.0991     2.94175    0.013413
          25     3.03579     2.94551   0.0133936
          26     2.96865      2.9464    0.012908
          27     2.96017     2.94691     0.01244
          28     3.04962     2.95058   0.0125248
          29     2.90929     2.94916   0.0121736
          30     2.99021     2.95053   0.0118445
          31       2.953     2.95061   0.0114627
          32     2.96633      2.9511    0.011115
          33     2.94548     2.95093   0.0107795
          34     3.09067     2.95504   0.0112187
          35     2.95641     2.95508   0.0108982
          36     3.03085     2.95718   0.0107968
          37     2.92619     2.95634   0.0105374
          38     2.90693     2.95504   0.0103401
          39     2.95707      2.9551   0.0100751
          40     2.93478     2.95459  0.00983598
          41     2.99113     2.95548  0.00963638
          42     3.05007     2.95773  0.00966653
          43     3.03344     2.95949  0.00960073
          44     3.05485     2.96166  0.00962404
          45     2.84464     2.95906  0.00975519
          46     2.90821     2.95795  0.00960555
          47     3.05389     2.95999  0.00961561
          48     2.97676     2.96034  0.00942163
          49     3.10359     2.96327  0.00967224
          50     3.05239     2.96505  0.00964163
