# block progressive_energy error block_energy acceptance
1 -0.450003 0 -0.450003 0.5993
2 -0.445832 0.00417158 -0.44166 0.6117
3 -0.443578 0.00329826 -0.439072 0.6091
4 -0.44643 0.00368387 -0.454985 0.6125
5 -0.445003 0.00319024 -0.439297 0.6212
6 -0.446293 0.00290644 -0.452739 0.6058
7 -0.443607 0.00363951 -0.427494 0.6101
8 -0.444095 0.00318947 -0.447512 0.6155
9 -0.443142 0.0029699 -0.435518 0.6086
10 -0.441643 0.00305021 -0.42815 0.6193
11 -0.441772 0.00276204 -0.443063 0.6154
12 -0.44216 0.002551 -0.446424 0.6167
13 -0.442691 0.00240607 -0.449072 0.6133
14 -0.442505 0.00223541 -0.440075 0.6089
15 -0.442663 0.0020871 -0.444885 0.6027
16 -0.442967 0.00197583 -0.447528 0.6137
17 -0.443662 0.00198187 -0.454784 0.6173
18 -0.443962 0.00189241 -0.449057 0.6143
19 -0.44402 0.00179098 -0.445067 0.6157
20 -0.443543 0.00176493 -0.434468 0.6072
21 -0.443124 0.00173007 -0.434762 0.6144
22 -0.443509 0.00169386 -0.451592 0.6194
23 -0.443371 0.00162446 -0.440322 0.6117
24 -0.4435 0.00156065 -0.446468 0.6115
25 -0.443622 0.00150191 -0.446559 0.6067
26 -0.443678 0.00144407 -0.445072 0.6121
27 -0.443953 0.00141653 -0.451107 0.6146
28 -0.443889 0.00136649 -0.442167 0.598
29 -0.443485 0.0013791 -0.432167 0.6064
30 -0.443313 0.00134343 -0.438316 0.606
31 -0.443685 0.00135156 -0.454843 0.6034
32 -0.443991 0.00134408 -0.453497 0.6113
33 -0.444245 0.00132711 -0.45235 0.6069
34 -0.444378 0.00129437 -0.448777 0.6152
35 -0.444308 0.00125881 -0.441916 0.6144
36 -0.44462 0.00126259 -0.455552 0.601
37 -0.444773 0.00123752 -0.45029 0.6163
38 -0.444752 0.0012047 -0.443954 0.6085
39 -0.444825 0.00117572 -0.447625 0.6183
40 -0.44492 0.00114982 -0.448596 0.6099
41 -0.44487 0.00112253 -0.442876 0.6089
42 -0.444714 0.00110649 -0.43833 0.6051
43 -0.444464 0.00110896 -0.433971 0.6092
44 -0.444706 0.00111005 -0.455089 0.6089
45 -0.444955 0.00111331 -0.455913 0.6131
46 -0.444847 0.00109419 -0.439985 0.6061
47 -0.444871 0.00107092 -0.445968 0.6016
48 -0.444667 0.00106792 -0.435107 0.6095
49 -0.444702 0.00104647 -0.446353 0.6078
50 -0.44468 0.00102555 -0.443633 0.6044
51 -0.444519 0.00101804 -0.436471 0.6077
52 -0.444504 0.000998392 -0.443712 0.6052
53 -0.444314 0.000997651 -0.434429 0.6055
54 -0.444365 0.000980373 -0.447113 0.6194
55 -0.444426 0.000964275 -0.447686 0.6113
56 -0.444094 0.00100348 -0.425822 0.6055
57 -0.44427 0.00100142 -0.454162 0.6131
58 -0.444351 0.000987341 -0.448975 0.6103
59 -0.444244 0.000976435 -0.437989 0.6008
60 -0.444275 0.000960554 -0.446159 0.6143
61 -0.444128 0.000956072 -0.435298 0.6131
62 -0.444046 0.000944079 -0.439054 0.6157
63 -0.443988 0.000930804 -0.440369 0.6178
64 -0.443927 0.000918175 -0.440083 0.6238
65 -0.443831 0.000908987 -0.437709 0.6137
66 -0.44377 0.000897182 -0.439808 0.6145
67 -0.443886 0.000891157 -0.451484 0.6106
68 -0.443745 0.000889132 -0.434329 0.6133
69 -0.443717 0.000876583 -0.441847 0.6154
70 -0.443842 0.000872852 -0.452412 0.6067
71 -0.44403 0.000880926 -0.457242 0.6058
72 -0.443914 0.000876421 -0.435622 0.6056
73 -0.44388 0.000864982 -0.441466 0.6066
74 -0.443737 0.000865202 -0.433259 0.6137
75 -0.44377 0.00085424 -0.446239 0.6056
76 -0.443815 0.000844125 -0.447191 0.6132
77 -0.443619 0.00085585 -0.428718 0.6086
78 -0.443614 0.000844818 -0.443262 0.6193
79 -0.443542 0.000837145 -0.437938 0.6043
80 -0.443381 0.000842159 -0.430658 0.6073
81 -0.443342 0.000832648 -0.440159 0.6067
82 -0.443344 0.000822436 -0.443567 0.6108
83 -0.443449 0.000819165 -0.452021 0.6047
84 -0.443438 0.000809426 -0.442538 0.6103
85 -0.443421 0.000800022 -0.442017 0.6059
86 -0.443573 0.000805113 -0.45648 0.6096
87 -0.443448 0.00080559 -0.432683 0.602
88 -0.44349 0.000797463 -0.447099 0.6037
89 -0.443649 0.00080439 -0.45767 0.6079
90 -0.443623 0.000795834 -0.441288 0.6123
91 -0.443557 0.000789746 -0.437679 0.6156
92 -0.443539 0.000781328 -0.441875 0.61
93 -0.443606 0.000775807 -0.449799 0.607
94 -0.443574 0.000768207 -0.440529 0.6084
95 -0.44336 0.000789637 -0.423241 0.6046
96 -0.443261 0.000787544 -0.43391 0.6148
97 -0.443349 0.000784269 -0.45174 0.6123
98 -0.443218 0.000787199 -0.430512 0.6117
99 -0.443223 0.000779228 -0.443775 0.6095
100 -0.44313 0.000777047 -0.433869 0.6151
