#   N_BLOCK:  ACCEPTANCE:
           1    0.444463
           2    0.446101
           3    0.446059
           4     0.44592
           5    0.445789
           6    0.446108
           7    0.445758
           8    0.445767
           9    0.445923
          10    0.445747
          11    0.445718
          12    0.445599
          13    0.445608
          14    0.445561
          15    0.445659
          16    0.445664
          17     0.44576
          18    0.445703
          19     0.44557
          20    0.445626
          21     0.44552
          22    0.445505
          23    0.445504
          24    0.445512
          25    0.445507
          26    0.445592
          27    0.445686
          28    0.445604
          29    0.445584
          30    0.445624
          31    0.445626
          32    0.445626
          33    0.445625
          34    0.445653
          35    0.445662
          36    0.445643
          37    0.445598
          38    0.445586
          39    0.445566
          40    0.445577
          41    0.445537
          42    0.445534
          43    0.445527
          44    0.445533
          45    0.445517
          46    0.445521
          47    0.445508
          48    0.445565
          49     0.44552
          50    0.445478
