#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.45323     2.45323           0
           2     2.51733     2.48528   0.0226623
           3     2.42955     2.46671   0.0214088
           4     2.53415     2.48357   0.0217039
           5     2.54998     2.49685   0.0210385
           6     2.53276     2.50284   0.0183635
           7     2.62122     2.51975   0.0222015
           8     2.59566     2.52924   0.0213581
           9     2.49783     2.52575    0.019268
          10      2.4828     2.52145   0.0178134
          11     2.50324      2.5198   0.0162707
          12     2.46691     2.51539   0.0155002
          13     2.36058     2.50348   0.0183197
          14     2.44825     2.49954   0.0174307
          15     2.53861     2.50214   0.0164622
          16     2.48082     2.50081   0.0154872
          17     2.50737     2.50119    0.014581
          18     2.58275     2.50573   0.0144578
          19     2.36318     2.49822   0.0155219
          20       2.468     2.49671   0.0148192
          21     2.46005     2.49497    0.014216
          22     2.55618     2.49775   0.0138395
          23     2.52603     2.49898   0.0132923
          24     2.42464     2.49588   0.0130944
          25     2.60135      2.5001   0.0132327
          26     2.56708     2.50268   0.0129721
          27     2.54216     2.50414   0.0125738
          28     2.62655     2.50851   0.0128624
          29     2.42697      2.5057   0.0127225
          30     2.45281     2.50393     0.01242
          31     2.54225     2.50517   0.0120807
          32     2.51834     2.50558   0.0117102
          33     2.41493     2.50284   0.0116731
          34     2.47468     2.50201   0.0113591
          35     2.58731     2.50444    0.011293
          36     2.58727     2.50675   0.0112112
          37     2.59631     2.50917   0.0111665
          38     2.36881     2.50547   0.0114673
          39     2.49106      2.5051   0.0111792
          40     2.56613     2.50663   0.0110034
          41     2.55186     2.50773   0.0107901
          42     2.53209     2.50831   0.0105488
          43     2.60946     2.51066   0.0105625
          44     2.59322     2.51254   0.0104877
          45     2.62495     2.51504    0.010548
          46     2.59026     2.51667   0.0104447
          47     2.56095     2.51762   0.0102648
          48     2.53721     2.51802   0.0100591
          49     2.52045     2.51807  0.00985394
          50      2.7006     2.52172   0.0103109
