# step r x y z
156 77.1074 42.4311 31.0399 56.4063
157 73.1872 40.8631 28.0744 53.8368
158 69.6739 38.0833 27.9554 51.2115
159 69.6739 38.0833 27.9554 51.2115
160 66.3958 36.8053 26.0898 48.7145
161 64.4199 36.334 25.2107 46.842
162 64.4199 36.334 25.2107 46.842
163 64.4798 37.168 26.5235 45.5268
164 62.778 36.621 24.4983 44.7192
165 62.778 36.621 24.4983 44.7192
166 62.778 36.621 24.4983 44.7192
167 62.778 36.621 24.4983 44.7192
168 59.5898 35.389 23.4484 41.8179
169 59.5898 35.389 23.4484 41.8179
170 59.2769 37.6512 23.8624 39.0733
171 57.5334 37.1088 23.6718 37.0497
172 57.8216 35.5649 26.6628 36.9806
173 57.309 35.373 28.5719 34.8816
174 54.297 33.5353 28.024 32.2211
175 53.5311 32.1224 27.8902 32.4941
176 53.5311 32.1224 27.8902 32.4941
177 50.0728 31.3362 25.4308 29.6412
178 50.3851 32.6003 26.8021 27.5232
179 49.5933 33.6161 26.1589 25.4001
180 48.004 32.558 25.4987 24.3757
181 48.004 32.558 25.4987 24.3757
182 48.4577 31.2043 28.4292 23.7954
183 48.4577 31.2043 28.4292 23.7954
184 45.3192 29.0779 25.4369 23.6912
185 45.3192 29.0779 25.4369 23.6912
186 45.3192 29.0779 25.4369 23.6912
187 44.1842 26.9725 27.1404 22.0936
188 42.9756 25.9894 26.1659 22.0636
189 42.9756 25.9894 26.1659 22.0636
190 42.9756 25.9894 26.1659 22.0636
191 42.9756 25.9894 26.1659 22.0636
192 42.9756 25.9894 26.1659 22.0636
193 42.9756 25.9894 26.1659 22.0636
194 42.9756 25.9894 26.1659 22.0636
195 41.9835 26.8381 23.2281 22.423
196 41.9835 26.8381 23.2281 22.423
197 41.9835 26.8381 23.2281 22.423
198 40.5464 25.6749 22.4739 21.903
199 40.5464 25.6749 22.4739 21.903
200 40.8234 28.1665 21.9117 19.826
201 40.8234 28.1665 21.9117 19.826
202 40.8234 28.1665 21.9117 19.826
203 40.8234 28.1665 21.9117 19.826
204 40.8234 28.1665 21.9117 19.826
205 40.8234 28.1665 21.9117 19.826
206 40.7006 28.3131 22.3569 18.8435
207 38.675 27.7175 21.777 15.9141
208 38.6325 25.6553 22.5161 18.0915
209 38.6325 25.6553 22.5161 18.0915
210 37.9023 24.7917 23.6581 16.1941
211 34.2761 22.1513 22.413 13.4842
212 34.2761 22.1513 22.413 13.4842
213 35.0368 19.3865 24.0941 16.4685
214 35.0368 19.3865 24.0941 16.4685
215 35.0368 19.3865 24.0941 16.4685
216 36.8656 21.629 24.1851 17.5026
217 36.0255 19.0465 26.344 15.5261
218 36.0255 19.0465 26.344 15.5261
219 36.0255 19.0465 26.344 15.5261
220 36.0255 19.0465 26.344 15.5261
221 36.9625 18.441 27.0631 17.1391
222 36.8272 18.9886 24.3175 20.1081
223 35.9803 21.0696 23.0639 17.8524
