# step r x y z
156 140.681 79.0378 82.4294 82.1565
157 140.681 79.0378 82.4294 82.1565
158 141.194 79.0024 82.1534 83.3384
159 140.004 78.5095 81.7388 82.1962
160 140.004 78.5095 81.7388 82.1962
161 139.359 78.8996 80.8429 81.6097
162 139.359 78.8996 80.8429 81.6097
163 138.186 78.6808 79.769 80.8806
164 138.186 78.6808 79.769 80.8806
165 138.186 78.6808 79.769 80.8806
166 138.186 78.6808 79.769 80.8806
167 137.325 77.9608 79.6883 80.1876
168 137.119 77.6554 79.8369 79.9831
169 137.119 77.6554 79.8369 79.9831
170 137.119 77.6554 79.8369 79.9831
171 136.472 77.9299 79.6357 78.8017
172 136.472 77.9299 79.6357 78.8017
173 136.472 77.9299 79.6357 78.8017
174 136.64 78.9024 79.5733 78.1854
175 136.672 78.4179 80.0191 78.2746
176 136.672 78.4179 80.0191 78.2746
177 136.672 78.4179 80.0191 78.2746
178 136.672 78.4179 80.0191 78.2746
179 136.672 78.4179 80.0191 78.2746
180 136.869 79.3921 79.2948 78.3727
181 137.134 79.2666 80.3409 77.896
182 137.107 79.0549 79.8932 78.5221
183 137.221 78.2781 79.8825 79.5038
184 137.32 78.3657 80.1251 79.3453
185 136.943 77.5224 80.6575 78.9816
186 137.88 78.1342 81.7848 78.8498
187 137.681 78.4364 81.9066 78.0709
188 137.498 77.5478 82.2417 78.2844
189 137.76 78.7434 82.413 77.3644
190 137.172 78.2172 81.4543 77.8678
191 137.172 78.2172 81.4543 77.8678
192 136.497 77.8107 80.7423 77.8299
193 136.49 78.1569 80.1907 78.0408
194 136.49 78.1569 80.1907 78.0408
195 136.725 77.7425 81.3559 77.66
196 136.725 77.7425 81.3559 77.66
197 136.725 77.7425 81.3559 77.66
198 136.428 76.8923 81.9295 77.3812
199 136.428 76.8923 81.9295 77.3812
200 136.325 76.5951 81.1286 78.3319
201 136.325 76.5951 81.1286 78.3319
202 135.678 75.7467 80.8785 78.2911
203 135.124 75.2852 80.9479 77.7054
204 135.124 75.2852 80.9479 77.7054
205 134.424 75.9654 79.9181 76.8913
206 133.7 75.5435 79.4699 76.5081
207 133.096 75.3833 79.6045 75.4653
208 133.26 74.8272 80.3021 75.5686
209 133.26 74.8272 80.3021 75.5686
210 131.829 74.1964 79.4691 74.5553
211 131.832 74.1673 80.1999 73.8037
212 131.529 74.0171 80.5645 73.0119
213 131.335 73.8679 81.3382 71.9487
214 131.335 73.8679 81.3382 71.9487
215 131.081 72.7546 82.163 71.6814
216 130.935 71.7295 82.084 72.5327
217 130.17 71.7511 81.1889 72.1421
218 130.17 71.7511 81.1889 72.1421
219 130.17 71.7511 81.1889 72.1421
220 130.382 72.4804 80.3365 72.7462
221 130.382 72.4804 80.3365 72.7462
222 130.382 72.4804 80.3365 72.7462
223 129.918 71.6317 79.4002 73.7774
224 130.247 71.553 79.0084 74.8468
225 130.312 72.2446 77.9596 75.3933
226 130.324 71.1373 79.1322 75.2456
227 130.686 71.3801 78.5808 76.2153
228 130.54 70.7386 79.3199 75.7955
229 128.76 69.8937 78.2169 74.6728
230 128.169 69.997 77.2374 74.5786
231 129.132 71.1793 77.0092 75.3536
232 129.398 71.2482 76.3146 76.4431
233 129.799 71.4857 76.9538 76.2607
234 130.34 72.5508 76.6892 76.4432
235 130.427 72.1302 76.2417 77.432
236 130.416 71.5114 75.9446 78.2737
237 130.416 71.5114 75.9446 78.2737
238 130.615 72.3056 75.749 78.0659
239 130.599 72.9833 75.2476 77.8923
240 130.635 72.1967 75.8377 78.1135
241 131.006 72.4979 75.3553 78.9193
242 131.006 72.4979 75.3553 78.9193
243 131.006 72.4979 75.3553 78.9193
244 130.236 71.8069 74.2835 79.2908
245 130.627 70.8949 75.4515 79.652
246 130.627 70.8949 75.4515 79.652
247 129.994 71.7844 74.6722 78.5469
248 129.994 71.7844 74.6722 78.5469
249 129.906 71.1546 75.6448 78.041
250 129.299 70.1514 75.6697 77.9168
251 129.08 69.4992 76.4748 77.3506
252 127.753 68.7055 75.7565 76.56
253 127.669 68.8049 74.8647 77.2045
254 127.669 68.8049 74.8647 77.2045
255 127.141 69.8902 73.7203 76.4553
256 126.449 69.2078 73.7837 75.8655
257 125.249 68.5357 73.5824 74.6707
258 125.558 69.0108 74.7292 73.6063
259 125.538 69.3674 74.8148 73.1486
260 125.538 69.3674 74.8148 73.1486
261 125.538 69.3674 74.8148 73.1486
262 125.538 69.3674 74.8148 73.1486
263 125.208 68.8331 74.7121 73.1927
264 125.395 69.1853 74.7544 73.1367
265 125.395 69.1853 74.7544 73.1367
266 124.569 69.1721 73.8589 72.6463
267 123.491 68.546 73.5661 71.6896
268 122.459 67.6711 73.7379 70.5666
269 121.655 66.7373 74.3612 69.4012
270 121.31 67.7814 73.4482 68.7538
271 121.135 68.7193 72.8168 68.1845
272 120.841 67.8459 73.5852 67.7111
273 120.841 67.8459 73.5852 67.7111
274 120.493 66.985 73.2707 68.2861
275 120.493 66.985 73.2707 68.2861
276 119.898 67.1641 72.3321 68.0627
277 119.788 67.1299 72.2407 67.9997
278 119.58 66.7965 72.8724 67.2845
279 119.284 67.7424 71.9654 66.7887
280 119.996 66.6409 73.1579 67.8665
281 119.687 66.4753 73.62 66.9784
282 119.015 66.0484 73.25 66.6082
283 119.324 67.1044 73.0564 66.3182
284 118.527 67.0343 72.8775 65.1453
285 118.983 67.4415 73.9789 64.3094
286 118.95 67.5804 74.3349 63.6885
287 119.04 68.1373 73.42 64.3223
288 119.04 68.1373 73.42 64.3223
289 119.04 68.1373 73.42 64.3223
290 117.869 67.5519 72.3675 63.9743
291 117.869 67.5519 72.3675 63.9743
292 117.707 66.4824 72.4117 64.7421
293 117.707 66.4824 72.4117 64.7421
294 118.134 67.3356 72.6838 64.3324
295 117.347 67.3392 71.7437 63.9419
296 117.347 67.3392 71.7437 63.9419
297 117.347 67.3392 71.7437 63.9419
298 116.322 66.4209 70.5947 64.3075
299 116.322 66.4209 70.5947 64.3075
300 115.534 65.2925 70.803 63.8111
301 115.534 65.2925 70.803 63.8111
302 115.534 65.2925 70.803 63.8111
303 115.534 65.2925 70.803 63.8111
304 115.534 65.2925 70.803 63.8111
305 114.187 64.6352 69.9678 62.971
306 113.928 64.2832 69.6794 63.1829
307 113.396 63.1337 69.6926 63.3704
308 112.02 62.8924 68.5519 62.3999
309 112.086 62.5259 69.6353 61.6826
310 112.086 62.5259 69.6353 61.6826
311 111.902 62.5377 69.4418 61.554
312 111.902 62.5377 69.4418 61.554
313 111.902 62.5377 69.4418 61.554
314 111.533 63.5005 68.4722 60.982
315 111.554 63.1244 68.1898 61.7223
316 111.02 62.9701 67.4024 61.7822
317 110.628 62.8988 66.6118 62.0094
318 110.628 62.8988 66.6118 62.0094
319 110.404 62.4358 67.5674 61.0366
320 110.683 62.7814 67.1156 61.6818
321 109.694 62.3642 66.9464 60.5107
322 108.52 61.8917 65.9769 59.9415
323 108.336 62.3237 65.797 59.3559
324 108.336 62.3237 65.797 59.3559
325 108.336 62.3237 65.797 59.3559
326 108.336 62.3237 65.797 59.3559
327 108.336 62.3237 65.797 59.3559
328 108.832 62.5828 66.1365 59.6131
329 108.185 62.1887 65.6433 59.3927
330 108.908 62.7156 65.5092 60.3007
331 108.897 61.5468 65.7513 61.2162
332 108.888 62.3242 65.7357 60.4237
333 108.888 62.3242 65.7357 60.4237
334 108.786 62.4404 66.3387 59.4545
335 108.3 61.9204 66.767 58.6252
336 108.3 61.9204 66.767 58.6252
337 108.068 61.534 66.8415 58.5184
338 108.068 61.534 66.8415 58.5184
339 108.068 61.534 66.8415 58.5184
340 109.138 62.5012 66.7084 59.6221
341 108.534 61.6614 67.3469 58.6673
342 107.364 61.1064 66.734 57.7893
343 107.364 61.1064 66.734 57.7893
344 107.364 61.1064 66.734 57.7893
345 106.231 59.9594 65.7428 58.0332
346 105.467 60.4397 65.0521 56.9086
347 105.538 60.6993 65.4312 56.3258
348 104.739 59.7079 65.3467 55.9906
349 104.953 59.6752 65.7161 55.9955
350 104.352 58.6375 65.8093 55.8589
351 104.352 58.6375 65.8093 55.8589
352 104.15 57.9356 66.9313 54.8711
353 104.042 58.0943 67.4283 53.8822
354 103.778 57.7984 66.4644 54.8785
355 103.552 58.7134 65.3131 54.8637
356 103.364 59.3907 65.0988 54.0282
357 103.364 59.3907 65.0988 54.0282
358 102.859 58.4054 65.6783 53.4337
359 101.76 58.0464 65.1296 52.382
360 100.421 57.0478 64.7614 51.3419
361 100.421 57.0478 64.7614 51.3419
362 100.421 57.0478 64.7614 51.3419
363 101.047 56.8461 65.0266 52.4464
364 100.906 57.1288 65.0361 51.8513
365 101.099 57.4423 64.99 51.9398
366 100.256 56.4548 64.4526 52.0566
367 100.454 57.2042 63.7624 52.4693
368 100.247 56.6607 63.6952 52.7448
369 99.9171 56.451 62.543 53.713
370 99.5962 55.963 62.5245 53.6491
371 99.8948 57.0977 62.142 53.4528
372 99.182 56.9932 61.8719 52.5426
373 99.7846 57.6776 62.4998 52.1922
374 99.7846 57.6776 62.4998 52.1922
375 99.7846 57.6776 62.4998 52.1922
376 99.2897 56.8955 61.885 52.8355
377 98.4768 56.8334 60.751 52.6968
378 98.4768 56.8334 60.751 52.6968
379 98.0478 56.9905 60.5119 51.9977
380 98.0478 56.9905 60.5119 51.9977
381 98.0078 56.7742 60.101 52.6318
382 98.086 56.6824 59.2765 53.7984
383 98.6191 57.7338 59.4664 53.4441
384 98.7562 58.3944 59.8863 52.5025
385 98.7562 58.3944 59.8863 52.5025
386 99.2897 59.0539 59.126 53.621
387 99.2897 59.0539 59.126 53.621
388 99.2897 59.0539 59.126 53.621
389 99.1274 59.0337 58.7367 53.7705
390 97.8764 58.6841 57.5802 53.1082
391 98.3072 58.89 57.047 54.2395
392 98.6036 58.6887 58.1658 53.8055
393 98.6036 58.6887 58.1658 53.8055
394 98.6036 58.6887 58.1658 53.8055
395 98.0431 58.5166 58.1115 53.0217
396 98.6596 58.5781 59.0927 53.0131
397 98.0722 58.0267 59.1926 52.4146
398 98.0722 58.0267 59.1926 52.4146
399 97.8966 57.3427 60.1734 51.7176
400 98.5586 56.603 60.9875 52.8244
401 98.6354 56.3123 61.5352 52.643
402 97.6932 55.2967 61.6734 51.794
403 97.2261 55.7665 60.673 51.5926
404 97.1239 55.5225 59.9172 52.538
405 96.4689 55.2866 59.3812 52.1874
406 95.9888 56.1454 58.7213 51.121
407 95.8879 56.5437 57.5426 51.8282
408 94.5855 55.3613 56.6486 51.696
409 93.715 54.4604 56.6929 51.0144
410 93.922 55.249 55.7396 51.5944
411 93.922 55.249 55.7396 51.5944
412 94.8087 56.1865 56.3969 51.4893
413 94.2252 57.1319 55.3938 50.4566
414 94.0796 57.0713 54.2443 51.4917
415 94.6854 57.9942 53.9109 51.9192
416 94.1756 57.469 54.21 51.2605
417 94.2416 57.451 54.4567 51.1403
418 94.2416 57.451 54.4567 51.1403
419 94.2416 57.451 54.4567 51.1403
420 94.2945 58.2268 54.3349 50.4857
421 94.2945 58.2268 54.3349 50.4857
422 93.429 57.8326 54.1152 49.5572
423 93.429 57.8326 54.1152 49.5572
424 92.3187 57.3431 53.3732 48.8448
425 92.3187 57.3431 53.3732 48.8448
426 92.3187 57.3431 53.3732 48.8448
427 92.3187 57.3431 53.3732 48.8448
428 91.6811 57.3144 52.2074 48.9373
429 91.6811 57.3144 52.2074 48.9373
430 91.1283 57.1176 51.4704 48.9156
431 89.8688 56.0761 50.4731 48.8296
432 88.689 55.3541 49.5544 48.4359
433 88.689 55.3541 49.5544 48.4359
434 88.1765 54.1982 49.5215 48.8392
435 87.7458 54.5461 49.1831 48.0113
436 87.6412 55.3776 48.9891 47.0571
437 86.0364 54.7049 47.956 45.9332
438 86.0364 54.7049 47.956 45.9332
439 86.0364 54.7049 47.956 45.9332
440 86.0364 54.7049 47.956 45.9332
441 86.0364 54.7049 47.956 45.9332
442 86.2199 55.1969 47.5888 46.0704
443 85.4938 54.1352 47.9052 45.6471
444 85.4938 54.1352 47.9052 45.6471
445 85.2078 53.8129 48.3968 44.9699
446 84.6969 54.2539 47.9572 43.9338
447 83.5319 53.1307 47.8676 43.1672
448 82.5585 52.2152 47.5285 42.7845
449 82.5585 52.2152 47.5285 42.7845
450 81.7862 52.0027 46.7423 42.4246
451 81.7862 52.0027 46.7423 42.4246
452 80.5808 50.9797 46.2574 41.8878
453 79.3117 50.0424 45.321 41.6187
454 78.7859 50.0331 44.4682 41.5511
455 78.6138 49.2982 44.7257 41.8261
456 79.3282 50.0841 44.2389 42.7489
457 78.8456 49.5078 44.8097 41.9249
458 78.6674 48.6724 45.6405 41.6715
459 78.2163 48.3182 45.2098 41.7038
460 76.3859 47.3217 44.2018 40.5174
461 76.1153 47.4375 44.1483 39.9268
462 76.1153 47.4375 44.1483 39.9268
463 76.1153 47.4375 44.1483 39.9268
464 75.88 47.0735 43.8497 40.2375
465 76.4949 47.9738 44.6144 39.491
