#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       1.935       1.935           0
           2     1.93493     1.93497 2.46227e-05
           3     1.93472     1.93488 6.82781e-05
           4     1.93437     1.93476 0.000121693
           5     1.93389     1.93458 0.000183441
           6     1.93326     1.93436 0.000252637
           7     1.93249      1.9341 0.000328699
           8     1.93158     1.93378 0.000411232
           9     1.93052     1.93342 0.000499966
          10     1.92932     1.93301 0.000594723
          11     1.92796     1.93255 0.000695395
          12     1.92645     1.93204 0.000801927
          13     1.92478     1.93148 0.000914311
          14     1.92295     1.93087  0.00103255
          15     1.92094     1.93021  0.00115665
          16     1.91877      1.9295  0.00128673
          17     1.91641     1.92873  0.00142285
          18     1.91387      1.9279  0.00156511
          19     1.91113     1.92702  0.00171364
          20     1.90819     1.92608  0.00186866
          21     1.90505     1.92508  0.00203038
          22     1.90168     1.92401  0.00219902
          23     1.89809     1.92288  0.00237482
          24     1.89425     1.92169  0.00255803
          25     1.89017     1.92043  0.00274889
          26     1.88584      1.9191  0.00294767
          27     1.88123      1.9177  0.00315463
          28     1.87634     1.91622  0.00337009
          29     1.87116     1.91467  0.00359432
          30     1.86567     1.91303  0.00382763
          31     1.85987     1.91132  0.00407031
          32     1.85373     1.90952  0.00432266
          33     1.84725     1.90763    0.004585
          34     1.84042     1.90566  0.00485768
          35     1.83321     1.90359  0.00514103
          36     1.82561     1.90142  0.00543538
          37     1.81761     1.89915  0.00574108
          38      1.8092     1.89679  0.00605841
          39     1.80036     1.89431  0.00638764
          40     1.79109     1.89173  0.00672906
          41     1.78137     1.88904  0.00708291
          42     1.77119     1.88624  0.00744942
          43     1.76053     1.88331   0.0078288
          44      1.7494     1.88027   0.0082212
          45     1.73778      1.8771  0.00862676
          46     1.72567     1.87381  0.00904557
          47     1.71307     1.87039  0.00947765
          48     1.69996     1.86684  0.00992299
          49     1.68637     1.86316   0.0103815
          50     1.67229     1.85934   0.0108531
          51     1.65773     1.85539   0.0113374
          52     1.64269      1.8513   0.0118342
          53     1.62721     1.84707   0.0123432
          54     1.61128      1.8427   0.0128638
          55     1.59493      1.8382   0.0133955
          56     1.57819     1.83355   0.0139377
          57     1.56109     1.82877   0.0144897
          58     1.54364     1.82386   0.0150508
          59      1.5259     1.81881     0.01562
          60     1.50789     1.81363   0.0161964
          61     1.48966     1.80831   0.0167791
          62     1.47123     1.80288   0.0173669
          63     1.45265     1.79732    0.017959
          64     1.43397     1.79164    0.018554
          65     1.41523     1.78585    0.019151
          66     1.39646     1.77995   0.0197487
          67     1.37772     1.77395    0.020346
          68     1.35904     1.76785   0.0209417
          69     1.34046     1.76165   0.0215347
          70     1.32203     1.75537   0.0221239
          71     1.30378     1.74901   0.0227082
          72     1.28574     1.74258   0.0232866
          73     1.26796     1.73608   0.0238579
          74     1.25047     1.72951   0.0244213
          75     1.23331      1.7229   0.0249758
          76      1.2165     1.71623   0.0255205
          77     1.20009     1.70953   0.0260545
          78     1.18409     1.70279   0.0265771
          79     1.16855     1.69603   0.0270874
          80     1.15349     1.68925   0.0275847
          81     1.13894     1.68246   0.0280683
          82     1.12494     1.67566   0.0285376
          83     1.11151     1.66886   0.0289919
          84     1.09867     1.66207   0.0294307
          85     1.08646      1.6553   0.0298534
          86      1.0749     1.64855   0.0302595
          87     1.06402     1.64183   0.0306485
          88     1.05383     1.63515     0.03102
          89     1.04436     1.62851   0.0313737
          90     1.03562     1.62192   0.0317092
          91     1.02763     1.61539   0.0320262
          92      1.0204     1.60893   0.0323245
          93     1.01393     1.60253   0.0326039
          94     1.00823     1.59621   0.0328644
          95     1.00329     1.58997   0.0331058
          96      0.9991     1.58381   0.0333281
          97     0.99565     1.57775   0.0335316
          98    0.992918     1.57178   0.0337163
          99    0.990878     1.56591   0.0338824
         100    0.989499     1.56015   0.0340304
         101    0.988744     1.55449   0.0341605
         102    0.988572     1.54894   0.0342732
         103    0.988937     1.54351    0.034369
         104    0.989791     1.53818   0.0344484
         105    0.991084     1.53297   0.0345121
         106    0.992764     1.52787   0.0345608
         107     0.99478     1.52289    0.034595
         108    0.997078     1.51802   0.0346156
         109    0.999607     1.51327   0.0346232
         110     1.00232     1.50862   0.0346186
         111     1.00516     1.50409   0.0346026
         112     1.00809     1.49966   0.0345759
         113     1.01108     1.49533   0.0345392
         114     1.01407     1.49111   0.0344932
         115     1.01705     1.48699   0.0344388
         116     1.01997     1.48296   0.0343764
         117     1.02283     1.47903   0.0343068
         118     1.02559     1.47519   0.0342306
         119     1.02824     1.47143   0.0341484
         120     1.03078     1.46776   0.0340607
         121     1.03319     1.46417    0.033968
         122     1.03546     1.46066   0.0338709
         123      1.0376     1.45722   0.0337697
         124      1.0396     1.45385   0.0336649
         125     1.04147     1.45055   0.0335568
         126     1.04321     1.44732   0.0334458
         127     1.04483     1.44415   0.0333323
         128     1.04634     1.44104   0.0332165
         129     1.04774     1.43799   0.0330986
         130     1.04905       1.435   0.0329789
         131     1.05027     1.43206   0.0328577
         132     1.05142     1.42918    0.032735
         133      1.0525     1.42635   0.0326112
         134     1.05352     1.42356   0.0324863
         135      1.0545     1.42083   0.0323605
         136     1.05543     1.41814   0.0322339
         137     1.05633      1.4155   0.0321066
         138      1.0572     1.41291   0.0319788
         139     1.05805     1.41035   0.0318504
         140     1.05888     1.40784   0.0317217
         141     1.05969     1.40537   0.0315927
         142     1.06049     1.40294   0.0314634
         143     1.06127     1.40055    0.031334
         144     1.06203      1.3982   0.0312045
         145     1.06277     1.39589   0.0310749
         146     1.06349     1.39361   0.0309453
         147     1.06419     1.39137   0.0308159
         148     1.06486     1.38917   0.0306865
         149     1.06551     1.38699   0.0305574
         150     1.06613     1.38486   0.0304284
         151     1.06672     1.38275   0.0302998
         152     1.06728     1.38067   0.0301714
         153     1.06781     1.37863   0.0300434
         154      1.0683     1.37661   0.0299159
         155     1.06877     1.37463   0.0297887
         156     1.06921     1.37267    0.029662
         157     1.06962     1.37074   0.0295358
         158     1.07003     1.36884   0.0294101
         159     1.07042     1.36696    0.029285
         160     1.07081     1.36511   0.0291604
         161     1.07121     1.36328   0.0290364
         162     1.07163     1.36148   0.0289129
         163     1.07206     1.35971     0.02879
         164     1.07253     1.35796   0.0286676
         165     1.07303     1.35623   0.0285458
         166     1.07358     1.35453   0.0284246
         167     1.07417     1.35285   0.0283039
         168     1.07481     1.35119   0.0281838
         169      1.0755     1.34956   0.0280642
         170     1.07623     1.34795   0.0279452
         171       1.077     1.34637   0.0278266
         172      1.0778     1.34481   0.0277086
         173     1.07862     1.34327   0.0275911
         174     1.07945     1.34175   0.0274742
         175     1.08028     1.34026   0.0273578
         176      1.0811     1.33879   0.0272419
         177     1.08187     1.33733   0.0271267
         178      1.0826      1.3359    0.027012
         179     1.08326     1.33449    0.026898
         180     1.08384      1.3331   0.0267845
         181     1.08432     1.33172   0.0266718
         182      1.0847     1.33037   0.0265598
         183     1.08495     1.32903   0.0264485
         184     1.08508      1.3277   0.0263379
         185     1.08507     1.32639   0.0262282
         186     1.08492     1.32509   0.0261193
         187     1.08463      1.3238   0.0260113
         188      1.0842     1.32253   0.0259041
         189     1.08364     1.32127   0.0257979
         190     1.08293     1.32001   0.0256926
         191     1.08211     1.31877   0.0255882
         192     1.08117     1.31753   0.0254849
         193     1.08013      1.3163   0.0253825
         194     1.07899     1.31508   0.0252811
         195     1.07778     1.31386   0.0251807
         196      1.0765     1.31265   0.0250813
         197     1.07517     1.31144    0.024983
         198     1.07381     1.31024   0.0248856
         199     1.07243     1.30905   0.0247892
         200     1.07104     1.30786   0.0246938
         201     1.06965     1.30667   0.0245994
         202     1.06829     1.30549   0.0245059
         203     1.06697     1.30432   0.0244134
         204     1.06568     1.30315   0.0243217
         205     1.06445     1.30198   0.0242309
         206     1.06329     1.30082    0.024141
         207     1.06221     1.29967   0.0240518
