#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.236067    0.236067           0
           2    0.231899    0.233983  0.00147376
           3     0.22901    0.232325   0.0016725
           4    0.225796    0.230693  0.00188989
           5     0.22462    0.229479  0.00186172
           6    0.228832    0.229371  0.00155454
           7    0.229519    0.229392  0.00133261
           8    0.234867    0.230076  0.00133021
           9    0.232266     0.23032  0.00120445
          10     0.23028    0.230316  0.00108401
          11    0.228915    0.230188 0.000992915
          12      0.2328    0.230406 0.000933724
          13    0.230554    0.230417 0.000861969
          14    0.227331    0.230197 0.000828112
          15    0.231485    0.230283 0.000777342
          16    0.231515     0.23036 0.000732561
          17    0.229391    0.230303 0.000691683
          18    0.230503    0.230314 0.000653345
          19    0.232619    0.230435 0.000630122
          20     0.22824    0.230325 0.000608099
          21    0.231521    0.230382 0.000581802
          22    0.230602    0.230392 0.000555442
          23     0.22822    0.230298 0.000539263
          24    0.229638     0.23027 0.000517495
          25    0.229429    0.230237 0.000497888
          26     0.23042    0.230244 0.000478789
          27    0.231452    0.230289 0.000463141
          28    0.228608    0.230229  0.00045047
          29    0.228599    0.230172 0.000438427
          30    0.230825    0.230194 0.000424352
          31    0.229126     0.23016  0.00041206
          32     0.22743    0.230074 0.000407916
          33    0.230259     0.23008 0.000395594
          34    0.228525    0.230034 0.000386593
          35    0.228679    0.229996 0.000377481
          36    0.225282    0.229865 0.000389039
          37    0.226922    0.229785 0.000386569
          38    0.224758    0.229653 0.000398392
          39    0.233468    0.229751 0.000400009
          40    0.229285    0.229739 0.000390178
          41    0.233097    0.229821 0.000389164
          42    0.232512    0.229885 0.000385138
          43    0.231484    0.229922 0.000377972
          44    0.228128    0.229881 0.000371574
          45    0.228553    0.229852 0.000364487
          46     0.22967    0.229848 0.000356585
          47    0.228993     0.22983 0.000349462
          48    0.227778    0.229787 0.000344786
          49    0.230043    0.229792 0.000337789
          50    0.232548    0.229847 0.000335501
