#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.68804     1.68804           0
           2     1.67812     1.68308  0.00350725
           3     1.69124      1.6858  0.00322438
           4     1.67055     1.68199  0.00409306
           5     1.65302     1.67619   0.0061302
           6     1.65768     1.67311  0.00583365
           7     1.69611     1.67639  0.00585276
           8     1.69054     1.67816   0.0053815
           9     1.67899     1.67825  0.00478434
          10     1.68248     1.67868  0.00432451
          11     1.66712     1.67763  0.00405702
          12     1.68664     1.67838  0.00378785
          13     1.63141     1.67476  0.00492689
          14     1.66481     1.67405  0.00462595
          15     1.65141     1.67254  0.00455726
          16     1.67705     1.67282  0.00428113
          17      1.6493     1.67144  0.00424707
          18     1.72583     1.67446  0.00497101
          19     1.64173     1.67274  0.00499893
          20     1.69002      1.6736  0.00482306
          21     1.64479     1.67223  0.00478459
          22      1.7064     1.67378  0.00481256
          23     1.73133     1.67629   0.0052132
          24     1.63533     1.67458  0.00526786
          25     1.73147     1.67686  0.00552685
          26     1.69254     1.67746   0.0053471
          27     1.70603     1.67852  0.00525271
          28     1.70188     1.67935  0.00513097
          29     1.66244     1.67877  0.00498706
          30     1.68826     1.67908  0.00483085
          31     1.62309     1.67728  0.00500134
          32      1.6525      1.6765  0.00490463
          33     1.67374     1.67642  0.00475672
          34     1.68136     1.67657  0.00461904
          35     1.73484     1.67823  0.00477773
          36       1.766     1.68067  0.00523024
          37     1.71166     1.68151  0.00515552
          38     1.61617     1.67979  0.00529882
          39     1.69685     1.68022  0.00518097
          40     1.74501     1.68184  0.00529856
          41     1.70363     1.68238  0.00519589
          42     1.65565     1.68174    0.005111
          43     1.67221     1.68152  0.00499695
          44     1.68832     1.68167  0.00488577
          45     1.73821     1.68293  0.00493611
          46     1.71868     1.68371  0.00488962
          47     1.72951     1.68468  0.00488172
          48      1.6952      1.6849  0.00478494
          49     1.68532     1.68491   0.0046873
          50     1.77348     1.68668  0.00491687
