#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.372376    0.372376           0
           2    0.371553    0.371965 0.000290867
           3    0.370139    0.371356 0.000533257
           4    0.357208    0.367819  0.00308918
           5    0.364274     0.36711  0.00255142
           6    0.359219    0.365795  0.00244173
           7    0.365404    0.365739  0.00209355
           8    0.365556    0.365716  0.00183198
           9    0.374197    0.366659  0.00185501
          10    0.365748    0.366568  0.00167174
          11    0.377264     0.36754  0.00178026
          12    0.364628    0.367297  0.00164835
          13    0.375214    0.367906  0.00163018
          14    0.357211    0.367142  0.00168325
          15    0.375862    0.367724   0.0016684
          16    0.373684    0.368096  0.00160517
          17    0.363902    0.367849  0.00152959
          18    0.368285    0.367874   0.0014448
          19     0.37404    0.368198  0.00140474
          20    0.371139    0.368345  0.00134218
          21    0.371012    0.368472  0.00128426
          22    0.372756    0.368667  0.00124055
          23    0.378263    0.369084  0.00125482
          24    0.373005    0.369248  0.00121313
          25    0.372453    0.369376  0.00117136
          26    0.379761    0.369775  0.00119246
          27    0.373607    0.369917  0.00115671
          28    0.372886    0.370023  0.00112025
          29    0.379918    0.370364  0.00113239
          30    0.368963    0.370318  0.00109561
          31    0.371795    0.370365   0.0010613
          32    0.370479    0.370369  0.00102814
          33    0.366965    0.370266  0.00100215
          34    0.365251    0.370118 0.000983467
          35    0.367448    0.370042 0.000958323
          36     0.36513    0.369905 0.000941364
          37    0.370576    0.369924 0.000916096
          38     0.36883    0.369895  0.00089244
          39    0.372118    0.369952 0.000871376
          40    0.373982    0.370053 0.000855396
          41    0.361144    0.369835 0.000861687
          42    0.372663    0.369903 0.000843796
          43    0.365885    0.369809  0.00082933
          44    0.372506     0.36987 0.000812743
          45    0.361862    0.369692 0.000813935
          46    0.367867    0.369653 0.000797208
          47     0.37196    0.369702 0.000781756
          48    0.363342    0.369569 0.000776617
          49    0.367739    0.369532 0.000761665
          50    0.375658    0.369655 0.000756221
