#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.48718     4.48718           0
           2     4.25697     4.37208   0.0813903
           3     4.42004     4.38807   0.0558086
           4      4.4589     4.40577   0.0445778
           5     4.19865     4.36435   0.0514263
           6     4.36984     4.36526   0.0428634
           7     4.55316     4.39211   0.0443557
           8     4.55265     4.41217   0.0431124
           9     4.38221     4.40884   0.0384505
          10     4.54462     4.42242   0.0369249
          11     4.43142     4.42324   0.0335772
          12      4.4555     4.42593   0.0308865
          13     4.46515     4.42895   0.0286576
          14     4.39062     4.42621   0.0267411
          15     4.57243     4.43596   0.0266761
          16     4.67901     4.45115   0.0290134
          17     4.40285     4.44831   0.0274455
          18       4.232     4.43629     0.02843
          19     4.39438     4.43408   0.0270191
          20     4.35651      4.4302   0.0259451
          21     4.50718     4.43387   0.0249672
          22     4.50796     4.43724   0.0240584
          23     4.47686     4.43896   0.0230739
          24     4.23371     4.43041   0.0236443
          25     4.48563     4.43262   0.0228015
          26     4.47587     4.43428   0.0219851
          27     4.54147     4.43825   0.0215263
          28     4.39451     4.43669   0.0208141
          29       4.314     4.43246   0.0205218
          30      4.4492     4.43302   0.0198453
          31     4.36935     4.43096   0.0193112
          32     4.66728     4.43835   0.0200701
          33     4.35569     4.43584   0.0196176
          34     4.38066     4.43422   0.0191077
          35     4.33773     4.43146   0.0187596
          36      4.1067     4.42244   0.0202919
          37     4.45261     4.42326   0.0197599
          38     4.34134      4.4211   0.0193571
          39     4.25365     4.41681   0.0193311
          40     4.30732     4.41407   0.0190406
          41     4.33575     4.41216   0.0186718
          42     4.46456     4.41341   0.0182689
          43     4.42914     4.41377   0.0178477
          44     4.31302     4.41148   0.0175883
          45     4.29923     4.40899   0.0173735
          46     4.65635     4.41437   0.0178086
          47     4.34874     4.41297   0.0174843
          48      4.4279     4.41328   0.0171228
          49     4.56264     4.41633   0.0170425
          50     4.49581     4.41792   0.0167756
