#   N_BLOCK:  ACCEPTANCE:
           1    0.316065
           2    0.317459
           3    0.317527
           4    0.317667
           5    0.317741
           6    0.317803
           7    0.317756
           8    0.317723
           9     0.31796
          10    0.317692
          11    0.317592
          12    0.317493
          13    0.317345
          14    0.317558
          15     0.31742
          16    0.317375
          17    0.317354
          18    0.317345
          19    0.317272
          20    0.317308
          21    0.317239
          22    0.317221
          23    0.317306
          24    0.317378
          25    0.317248
          26    0.317228
          27    0.317235
          28    0.317177
          29    0.317226
          30    0.317244
          31    0.317272
          32    0.317227
          33    0.317287
          34    0.317318
          35    0.317361
          36    0.317445
          37    0.317449
          38    0.317475
          39    0.317518
          40    0.317548
          41    0.317576
          42    0.317562
          43    0.317613
          44    0.317632
          45     0.31763
          46    0.317638
          47    0.317654
          48    0.317683
          49    0.317686
          50     0.31768
