#   N_BLOCK:  ACCEPTANCE:
           1    0.027553
           2    0.026723
           3    0.028018
           4   0.0281665
           5   0.0276336
           6    0.027452
           7   0.0279931
           8    0.027495
           9   0.0271222
          10    0.026513
          11   0.0260995
          12   0.0260397
          13   0.0261798
          14   0.0264767
          15   0.0260807
          16    0.025802
          17   0.0254134
          18   0.0258593
          19   0.0257651
          20   0.0259374
          21   0.0258949
          22   0.0259274
          23   0.0259662
          24   0.0258069
          25   0.0260901
          26   0.0260448
          27   0.0260273
          28   0.0261141
          29   0.0261743
          30   0.0261766
          31   0.0263786
          32   0.0263387
          33   0.0263602
          34   0.0262301
          35   0.0261087
          36   0.0261551
          37   0.0261081
          38   0.0260511
          39   0.0261512
          40   0.0261731
          41   0.0260743
          42   0.0261508
          43   0.0259826
          44   0.0259248
          45   0.0260039
          46   0.0260039
          47   0.0260151
          48   0.0258817
          49   0.0259644
          50   0.0259184
