#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.051256    0.051256           0
           2    0.059576    0.055416  0.00294156
           3    0.056342   0.0557247  0.00197717
           4    0.047234    0.053602  0.00236182
           5    0.044176   0.0517168  0.00253244
           6    0.048122   0.0511177  0.00218009
           7     0.04787   0.0506537  0.00191738
           8    0.058818   0.0516743  0.00193028
           9    0.056902   0.0522551  0.00180109
          10    0.043462   0.0513758  0.00182303
          11    0.044262   0.0507291  0.00176829
          12    0.049886   0.0506588  0.00162233
          13     0.05548   0.0510297  0.00153934
          14     0.05906   0.0516033  0.00153253
          15    0.046106   0.0512368  0.00147353
          16    0.056578   0.0515706  0.00141875
          17    0.050284   0.0514949  0.00133731
          18    0.058672   0.0518937  0.00132112
          19    0.053262   0.0519657  0.00125355
          20     0.04395   0.0515649   0.0012533
          21     0.04084   0.0510542   0.0012935
          22    0.033578   0.0502598  0.00145837
          23    0.061404   0.0507443  0.00147325
          24    0.055288   0.0509337  0.00142398
          25    0.057146   0.0511822  0.00138853
          26    0.022644   0.0500845  0.00171493
          27    0.063168   0.0505691  0.00171852
          28    0.042268   0.0502726  0.00168252
          29    0.051904   0.0503289  0.00162544
          30    0.047952   0.0502497  0.00157319
          31    0.034926   0.0497554  0.00159821
          32     0.06143   0.0501202  0.00158937
          33    0.045164     0.04997  0.00154828
          34    0.044446   0.0498075  0.00151125
          35    0.052778   0.0498924  0.00147045
          36    0.051528   0.0499378   0.0014303
          37    0.035068   0.0495359  0.00144701
          38    0.044316   0.0493986  0.00141543
          39    0.050338   0.0494227  0.00137935
          40    0.066784   0.0498567   0.0014115
          41    0.051562   0.0498983  0.00137768
          42    0.033476   0.0495073  0.00139927
          43    0.054622   0.0496262  0.00137177
          44     0.06491   0.0499736  0.00138388
          45     0.05974   0.0501906  0.00137004
          46    0.054812   0.0502911  0.00134393
          47    0.058922   0.0504747  0.00132783
          48    0.071166   0.0509058  0.00136835
          49    0.054628   0.0509818  0.00134253
          50    0.042388   0.0508099  0.00132663
