#   N_BLOCK:  ACCEPTANCE:
           1    0.090517
           2    0.092067
           3   0.0929593
           4   0.0928863
           5   0.0925488
           6   0.0923365
           7   0.0926299
           8   0.0927975
           9   0.0924028
          10   0.0922871
          11   0.0924122
          12   0.0925047
          13   0.0928187
          14   0.0932144
          15   0.0934241
          16   0.0936957
          17   0.0940038
          18   0.0938499
          19   0.0936028
          20   0.0936517
          21   0.0934843
          22   0.0935562
          23   0.0936081
          24     0.09362
          25    0.093669
          26   0.0935519
          27   0.0935568
          28   0.0935817
          29   0.0936248
          30    0.093641
          31   0.0936868
          32   0.0937304
          33   0.0935643
          34   0.0935765
          35   0.0935822
          36   0.0934667
          37   0.0934568
          38   0.0932739
          39   0.0932598
          40   0.0933686
          41   0.0933815
          42   0.0933703
          43   0.0933816
          44   0.0933591
          45   0.0935072
          46   0.0934772
          47   0.0935479
          48   0.0936188
          49   0.0936718
          50   0.0937119
