#     BLOCK:     DISTANCE:    BLOCK_GOFR:    GOFR_AVE:      ERROR:
           2     1.78265    0.835537    0.842791  0.00512951
           2      1.8083    0.893473    0.893098 0.000265557
           2     1.83395     0.91956    0.926785  0.00510927
           2      1.8596    0.956001    0.969274  0.00938498
           2     1.88525     1.02196       1.018  0.00280041
           2      1.9109     1.05703     1.05663 0.000278137
           2     1.93655     1.10659      1.1009    0.004023
           2      1.9622      1.1329     1.13334 0.000308627
           2     1.98785     1.15967     1.16107 0.000990815
           2      2.0135     1.18635     1.18451  0.00130518
           2     2.03915     1.21082     1.21071 7.20543e-05
           2      2.0648     1.21395     1.21238  0.00111011
           2     2.09045     1.21053     1.21886  0.00589395
           2      2.1161     1.21069     1.21494  0.00300185
           2     2.14174     1.19087     1.20234   0.0081114
           2     2.16739     1.19095     1.17239   0.0131234
           2     2.19304     1.15718     1.14944  0.00546624
           2     2.21869      1.1129     1.11494  0.00143598
           2     2.24434     1.08844      1.1003  0.00838683
           2     2.26999     1.06077     1.07662   0.0112091
           2     2.29564      1.0394     1.04319  0.00267688
           2     2.32129     1.01493     1.01666  0.00122421
           2     2.34694    0.983982    0.989499  0.00390164
           2     2.37259    0.970037    0.971423 0.000979692
           2     2.39824    0.965709    0.958166  0.00533371
           2     2.42389     0.95161    0.945468  0.00434326
           2     2.44954    0.929414    0.924547  0.00344116
           2     2.47519    0.908774    0.903427  0.00378133
           2     2.50084    0.892146    0.893566  0.00100439
           2     2.52649    0.885615    0.884085  0.00108196
           2     2.55214    0.890945    0.892626  0.00118818
           3   0.0128248           0           0           0
           3   0.0384745           0           0           0
           3   0.0641241           0           0           0
           3   0.0897737           0           0           0
           3    0.115423           0           0           0
           3    0.141073           0           0           0
           3    0.166723           0           0           0
           3    0.192372           0           0           0
           3    0.218022           0           0           0
           3    0.243672           0           0           0
           3    0.269321           0           0           0
           3    0.294971           0           0           0
           3     0.32062           0           0           0
           3     0.34627           0           0           0
           3     0.37192           0           0           0
           3    0.397569           0           0           0
           3    0.423219           0           0           0
           3    0.448869           0           0           0
           3    0.474518           0           0           0
           3    0.500168           0           0           0
           3    0.525818           0           0           0
           3    0.551467           0           0           0
           3    0.577117           0           0           0
           3    0.602767           0           0           0
           3    0.628416           0           0           0
           3    0.654066           0           0           0
           3    0.679715           0           0           0
           3    0.705365           0           0           0
           3    0.731015           0           0           0
           3    0.756664           0           0           0
           3    0.782314           0           0           0
           3    0.807964           0           0           0
           3    0.833613           0           0           0
           3    0.859263           0 0.000123198 5.21422e-05
           3    0.884913  0.00192581  0.00196861 0.000203932
           3    0.910562   0.0275252   0.0282008 0.000276073
           3    0.936212    0.170499    0.173235  0.00300761
           3    0.961861    0.560433    0.568485  0.00624138
           3    0.987511     1.20595     1.20367  0.00376178
           3     1.01316     1.87988     1.86353  0.00880369
           3     1.03881     2.35709     2.34282  0.00876077
           3     1.06446     2.59872     2.55072    0.019869
           3     1.09011     2.59223     2.55966   0.0158585
           3     1.11576     2.42122     2.41611  0.00316366
           3     1.14141     2.13462     2.17083    0.017417
           3     1.16706     1.93619      1.9715   0.0144474
           3     1.19271     1.76696     1.76541  0.00818723
           3     1.21836     1.56793     1.56007   0.0124427
