#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.761472   -0.761472           0
           2   -0.760816   -0.761144 0.000231931
           3   -0.762016   -0.761435 0.000283253
           4   -0.763924   -0.762057 0.000579314
           5   -0.764416   -0.762529 0.000626788
           6   -0.763076    -0.76262 0.000528917
           7     -0.7616   -0.762474 0.000473003
           8    -0.75898   -0.762038 0.000581575
           9   -0.759744   -0.761783 0.000570059
          10   -0.763324   -0.761937 0.000533484
          11   -0.761136   -0.761864 0.000489927
          12   -0.762724   -0.761936 0.000454311
          13   -0.762644    -0.76199 0.000422619
          14    -0.76088   -0.761911 0.000399802
          15   -0.764792   -0.762103 0.000416742
          16   -0.764348   -0.762243 0.000413644
          17   -0.760176   -0.762122 0.000406794
          18   -0.761304   -0.762076 0.000386722
          19   -0.762796   -0.762114 0.000368219
          20   -0.761736   -0.762095 0.000350293
          21   -0.762724   -0.762125  0.00033489
          22   -0.763048   -0.762167 0.000322284
          23    -0.75958   -0.762055 0.000327312
          24   -0.760944   -0.762008 0.000316929
          25    -0.76456    -0.76211 0.000320265
          26   -0.761836     -0.7621 0.000308121
          27   -0.762376    -0.76211 0.000296879
          28   -0.763476   -0.762159 0.000290257
          29   -0.759104   -0.762054 0.000298752
          30   -0.761892   -0.762048 0.000288842
          31   -0.761732   -0.762038 0.000279704
          32   -0.762264   -0.762045 0.000271053
          33   -0.762564   -0.762061 0.000263295
          34   -0.760416   -0.762012 0.000259957
          35   -0.761036   -0.761984 0.000254022
          36   -0.758604   -0.761891 0.000263751
          37   -0.761184   -0.761871 0.000257313
          38   -0.764876   -0.761951 0.000262408
          39   -0.761884   -0.761949 0.000255686
          40    -0.76108   -0.761927 0.000250214
          41    -0.76192   -0.761927 0.000244112
          42   -0.761284   -0.761912 0.000238779
          43   -0.761368   -0.761899  0.00023356
          44    -0.76248   -0.761912 0.000228625
          45   -0.761204   -0.761896 0.000224086
          46   -0.762024   -0.761899 0.000219231
          47   -0.759132    -0.76184 0.000222332
          48   -0.759124   -0.761784 0.000224787
          49   -0.764492   -0.761839 0.000226893
          50   -0.764072   -0.761884 0.000226707
