#   N_BLOCK:  ACCEPTANCE:
           1    0.238432
           2    0.238407
           3    0.238156
           4    0.237936
           5    0.237588
           6    0.237465
           7    0.237653
           8    0.238058
           9    0.238289
          10    0.238168
          11    0.238308
          12    0.238202
          13    0.238148
          14    0.238241
          15    0.238074
          16    0.237951
          17    0.238051
          18    0.238087
          19    0.238034
          20    0.238047
          21    0.238011
          22    0.237951
          23    0.238026
          24    0.238073
          25    0.237978
          26    0.237985
          27    0.237972
          28    0.237917
          29    0.238001
          30    0.237985
          31    0.237991
          32    0.237977
          33    0.237947
          34    0.237982
          35    0.238022
          36      0.2381
          37    0.238117
          38    0.238033
          39    0.238041
          40     0.23805
          41    0.238066
          42    0.238084
          43    0.238087
          44    0.238076
          45    0.238092
          46    0.238104
          47    0.238174
          48    0.238238
          49    0.238173
          50    0.238129
