#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.37744     7.37744           0
           2     7.30402     7.34073   0.0259551
           3     7.53181     7.40442   0.0548079
           4     8.02314      7.5591    0.140122
           5     7.42246     7.53177    0.114732
           6     7.57024     7.53818   0.0957888
           7     7.23778     7.49527   0.0912128
           8     7.19827     7.45814    0.087039
           9     7.48726     7.46138   0.0774281
          10     7.59149     7.47439     0.07077
          11     7.32058     7.46041   0.0657032
          12     7.40788     7.45603   0.0603736
          13     7.21305     7.43734   0.0585512
          14     7.50044     7.44185   0.0545422
          15     7.96764      7.4769   0.0611408
          16     7.36522     7.46992   0.0577165
          17     7.27622     7.45853   0.0554347
          18     7.43828      7.4574   0.0523664
          19     7.69283     7.46979   0.0510553
          20     7.60148     7.47638   0.0489252
          21     7.13392     7.46007   0.0492382
          22     7.24528     7.45031   0.0479582
          23     7.32534     7.44487   0.0461798
          24     7.34049     7.44052     0.04446
          25     7.36975     7.43769   0.0427716
          26     7.52831     7.44118   0.0412683
          27      7.4748     7.44242   0.0397587
          28     7.61136     7.44846   0.0387938
          29     7.53751     7.45153   0.0375774
          30     7.65785      7.4584   0.0369489
          31     7.34616     7.45478   0.0359339
          32      7.5829     7.45879   0.0350333
          33     7.46701     7.45904   0.0339726
          34     7.59573     7.46306   0.0332104
          35     7.36761     7.46033   0.0323733
          36     7.00463     7.44767   0.0338585
          37     7.28608      7.4433   0.0332239
          38     7.69906     7.45003   0.0330243
          39     6.89965     7.43592   0.0350634
          40     7.40396     7.43512    0.034196
          41     7.38335     7.43386   0.0333852
          42     7.04242     7.42454   0.0338663
          43     7.28964      7.4214   0.0332237
          44     7.61967     7.42591   0.0327727
          45     7.51294     7.42784   0.0321015
          46      7.1573     7.42196   0.0319378
          47     6.83761     7.40953   0.0335912
          48     7.05126     7.40207   0.0337105
          49     7.69338     7.40801   0.0335427
          50     7.87313     7.41731   0.0341374
