#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.419956    0.419956           0
           2    0.421887    0.420921 0.000682728
           3    0.417845    0.419896 0.000953004
           4    0.423822    0.420877  0.00111064
           5    0.419633    0.420628 0.000915972
           6    0.418967    0.420352 0.000804082
           7    0.415872    0.419712 0.000908859
           8    0.411004    0.418623  0.00129192
           9    0.432157    0.420127  0.00182448
          10    0.409672    0.419081  0.00191836
          11    0.422303    0.419374  0.00176618
          12    0.428125    0.420103  0.00176313
          13    0.405746    0.418999  0.00194284
          14    0.427193    0.419584  0.00189017
          15    0.422596    0.419785  0.00177479
          16    0.413919    0.419419  0.00170132
          17    0.424286    0.419705  0.00162516
          18    0.430315    0.420294  0.00163829
          19    0.417513    0.420148  0.00155859
          20    0.430761    0.420679   0.0015684
          21    0.413149     0.42032  0.00153415
          22    0.418127     0.42022  0.00146765
          23    0.433415    0.420794  0.00151181
          24    0.408563    0.420284   0.0015323
          25    0.425936    0.420511   0.0014876
          26    0.417607    0.420399  0.00143456
          27    0.418758    0.420338  0.00138272
          28    0.420084    0.420329  0.00133337
          29    0.431032    0.420698  0.00133749
          30    0.421597    0.420728  0.00129324
          31     0.41801     0.42064  0.00125449
          32    0.417472    0.420541  0.00121919
          33    0.410023    0.420223   0.0012232
          34    0.423415    0.420317  0.00119082
          35    0.419578    0.420295  0.00115699
          36    0.423951    0.420397  0.00112929
          37    0.415034    0.420252  0.00110804
          38    0.410795    0.420003  0.00110647
          39    0.412703    0.419816  0.00109382
          40    0.432582    0.420135  0.00111206
          41    0.414696    0.420002  0.00109282
          42    0.414046    0.419861  0.00107596
          43    0.424802    0.419976  0.00105706
          44    0.431692    0.420242  0.00106605
          45     0.41524    0.420131  0.00104814
          46    0.415315    0.420026  0.00103057
          47     0.42529    0.420138  0.00101471
          48     0.40849    0.419895  0.00102218
          49    0.433087    0.420165  0.00103617
          50    0.426275    0.420287  0.00102262
