#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.888894    0.888894           0
           2    0.927846     0.90837   0.0137716
           3    0.949266    0.922002   0.0144284
           4    0.940022    0.926507   0.0115031
           5    0.893804    0.919966   0.0109046
           6     0.86648    0.911052   0.0121983
           7    0.950872    0.916741   0.0117072
           8    0.733902    0.893886   0.0237062
           9    0.925778    0.897429   0.0213354
          10    0.927312    0.900418     0.01941
          11    0.898014    0.900199   0.0176467
          12    0.950706    0.904408   0.0166705
          13    0.943492    0.907414   0.0156569
          14     0.93413    0.909323   0.0146544
          15    0.871368    0.906792   0.0138942
          16    0.945608    0.909218   0.0132359
          17    0.900964    0.908733   0.0124662
          18    0.793514    0.902332    0.013316
          19    0.890442    0.901706   0.0126298
          20    0.903984     0.90182   0.0119989
          21    0.933342    0.903321    0.011521
          22    0.914918    0.903848   0.0110094
          23    0.926174    0.904819   0.0105734
          24     0.84801    0.902452   0.0103944
          25    0.950016    0.904354   0.0101513
          26      0.9003    0.904198  0.00976204
          27    0.716022    0.897229   0.0116251
          28    0.960324    0.899482   0.0114263
          29     0.94568    0.901075   0.0111428
          30    0.911786    0.901432    0.010777
          31    0.812806    0.898573   0.0108019
          32     0.91721    0.899156   0.0104801
          33    0.922532    0.899864   0.0101864
          34      0.6787    0.893359   0.0117821
          35    0.961194    0.895297   0.0116038
          36    0.781574    0.892138   0.0117035
          37     0.67669    0.886316   0.0127538
          38    0.943424    0.887818   0.0125064
          39    0.945076    0.889287   0.0122716
          40     0.96228    0.891111   0.0120997
          41     0.89213    0.891136   0.0118046
          42    0.966876     0.89294   0.0116605
          43    0.807276    0.890947   0.0115582
          44    0.919404    0.891594   0.0113136
          45    0.877126    0.891273   0.0110668
          46    0.938394    0.892297   0.0108735
          47    0.915932      0.8928   0.0106538
          48    0.938622    0.893754   0.0104745
          49    0.783504    0.891504   0.0104996
          50    0.950988    0.892694   0.0103568
