#   N_BLOCK:  ACCEPTANCE:
           1    0.533486
           2    0.534138
           3    0.533945
           4    0.533998
           5    0.534007
           6    0.533849
           7    0.533727
           8    0.533741
           9    0.533607
          10    0.533737
          11    0.533664
          12    0.533523
          13    0.533518
          14    0.533593
          15    0.533578
          16    0.533562
          17    0.533573
          18    0.533564
          19    0.533482
          20    0.533467
          21    0.533413
          22    0.533359
          23    0.533403
          24    0.533437
          25    0.533442
          26    0.533501
          27    0.533578
          28    0.533555
          29    0.533564
          30    0.533614
          31    0.533597
          32    0.533599
          33    0.533579
          34    0.533581
          35    0.533555
          36    0.533537
          37    0.533518
          38     0.53351
          39    0.533533
          40    0.533491
          41    0.533485
          42    0.533461
          43    0.533458
          44    0.533457
          45    0.533429
          46    0.533419
          47    0.533421
          48    0.533474
          49    0.533488
          50    0.533513
