#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.432812    0.432812           0
           2    0.445716    0.439264  0.00456214
           3    0.417989    0.432172  0.00654054
           4    0.430055    0.431643  0.00492678
           5    0.430085    0.431331  0.00395127
           6    0.433249    0.431651  0.00330562
           7     0.43384    0.431963  0.00284814
           8    0.406592    0.428792  0.00387442
           9    0.443167    0.430389  0.00375877
          10    0.454599     0.43281  0.00408887
          11    0.418373    0.431498  0.00392216
          12    0.420652    0.430594  0.00369798
          13    0.416849    0.429537  0.00356145
          14    0.419971    0.428853  0.00337197
          15    0.432932    0.429125  0.00315811
          16    0.410816    0.427981  0.00316126
          17    0.446682    0.429081  0.00316093
          18    0.436793    0.429509  0.00301422
          19     0.46092    0.431163  0.00327772
          20    0.444074    0.431808  0.00317677
          21    0.437449    0.432077  0.00303683
          22    0.447174    0.432763  0.00297531
          23    0.422869    0.432333  0.00287688
          24    0.438677    0.432597  0.00276913
          25    0.419955    0.432091  0.00270414
          26    0.433765    0.432156   0.0026009
          27    0.435378    0.432275  0.00250731
          28    0.419143    0.431806  0.00246124
          29     0.41035    0.431066  0.00248509
          30    0.428366    0.430976  0.00240388
          31    0.428028    0.430881  0.00232822
          32    0.430058    0.430855   0.0022556
          33    0.423966    0.430647  0.00219689
          34    0.445238    0.431076  0.00217379
          35    0.439801    0.431325  0.00212593
          36    0.429138    0.431264  0.00206774
          37     0.43319    0.431316  0.00201251
          38     0.40782    0.430698  0.00205234
          39    0.444708    0.431057  0.00203091
          40    0.454099    0.431633  0.00206022
          41    0.427925    0.431543  0.00201195
          42    0.439248    0.431726  0.00197239
          43    0.425817    0.431589   0.0019313
          44    0.430486    0.431564  0.00188757
          45    0.436614    0.431676  0.00184896
          46    0.411349    0.431234  0.00186082
          47    0.448894     0.43161  0.00185878
          48    0.442169     0.43183  0.00183302
          49    0.416825    0.431524  0.00182101
          50    0.425542    0.431404  0.00178852
