#   N_BLOCK:  ACCEPTANCE:
           1    0.106498
           2    0.106577
           3    0.108056
           4    0.109181
           5    0.108437
           6    0.107888
           7    0.108248
           8    0.108382
           9    0.107956
          10    0.107547
          11    0.107738
          12    0.107297
          13    0.107635
          14    0.107933
          15    0.107926
          16    0.107985
          17    0.108259
          18    0.108125
          19    0.107792
          20    0.107765
          21    0.107764
          22    0.107779
          23    0.107964
          24    0.107856
          25    0.107713
          26    0.107727
          27    0.107544
          28    0.107499
          29    0.107554
          30    0.107595
          31    0.107625
          32    0.107685
          33    0.107595
          34    0.107578
          35    0.107617
          36    0.107662
          37    0.107702
          38    0.107611
          39    0.107598
          40    0.107642
          41    0.107579
          42    0.107559
          43     0.10758
          44    0.107634
          45    0.107574
          46    0.107503
          47    0.107552
          48    0.107605
          49    0.107585
          50    0.107634
