#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.6015     15.6015           0
           2     13.8841     14.7428    0.607219
           3     15.2872     14.9242    0.431073
           4     14.8437     14.9041    0.323775
           5      14.419     14.8071    0.273169
           6     16.7663     15.1336    0.375071
           7     14.0736     14.9822    0.350728
           8     15.6208      15.062     0.31584
           9     15.8366     15.1481    0.292236
          10     14.4808     15.0814    0.270523
          11     14.5474     15.0328    0.250248
          12     14.7923     15.0128    0.230195
          13     14.2841     14.9567    0.219205
          14     13.6223     14.8614    0.223311
          15     15.3101     14.8913    0.210417
          16     16.1165     14.9679     0.21074
          17     18.0578     15.1497    0.265394
          18     13.1628     15.0393     0.27264
          19     16.4957     15.1159    0.268849
          20      14.216     15.0709    0.259145
          21     14.6369     15.0503    0.247628
          22     15.6307     15.0766    0.237773
          23     14.5404     15.0533    0.228575
          24     13.9296     15.0065    0.223796
          25      16.795     15.0781    0.225989
          26     15.2451     15.0845    0.217389
          27     16.3317     15.1307    0.214189
          28     14.5496     15.1099    0.207542
          29     14.6873     15.0953    0.200896
          30     13.9536     15.0573    0.197772
          31     14.9281     15.0531    0.191436
          32     16.0251     15.0835    0.187848
          33     13.6988     15.0415    0.186784
          34     15.1709     15.0453    0.181329
          35     14.3422     15.0252    0.177257
          36     13.2928     14.9771    0.178747
          37     16.6232     15.0216    0.179367
          38     13.3082     14.9765    0.180225
          39     15.3051     14.9849    0.175801
          40     15.0118     14.9856    0.171407
          41     14.2437     14.9675    0.168179
          42     14.3809     14.9536    0.164753
          43     15.4514     14.9651    0.161328
          44     16.0478     14.9897    0.159527
          45     14.4082     14.9768    0.156505
          46     15.8056     14.9948    0.154136
          47     15.6952     15.0097    0.151575
          48     17.1748     15.0548    0.154983
          49     14.9123     15.0519    0.151847
          50     15.6258     15.0634    0.149243
