#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.446738    0.446738           0
           2    0.412822     0.42978    0.011991
           3    0.467769    0.442443   0.0130692
           4    0.446445    0.443444  0.00984015
           5    0.428392    0.440433  0.00831988
           6    0.439824    0.440332  0.00693385
           7    0.418001    0.437142  0.00663672
           8    0.436719    0.437089  0.00580734
           9    0.452921    0.438848  0.00542198
          10    0.425392    0.437502  0.00504399
          11    0.436211    0.437385  0.00458681
          12     0.44274    0.437831  0.00422622
          13    0.427031       0.437  0.00398195
          14    0.424087    0.436078  0.00380285
          15    0.452078    0.437145  0.00369589
          16    0.441346    0.437407  0.00347421
          17    0.444456    0.437822  0.00329449
          18    0.427826    0.437267  0.00315792
          19    0.445556    0.437703   0.0030217
          20    0.417798    0.436708  0.00303008
          21    0.444431    0.437075  0.00290803
          22    0.411773    0.435925  0.00299466
          23    0.447102    0.436411  0.00290361
          24    0.418054    0.435646  0.00288161
          25    0.445624    0.436045  0.00279385
          26    0.412922    0.435156   0.0028244
          27    0.457055    0.435967  0.00283386
          28    0.444368    0.436267  0.00274849
          29    0.416545    0.435587  0.00273655
          30    0.419063    0.435036   0.0027002
          31    0.438045    0.435133  0.00261484
          32    0.441647    0.435337  0.00254103
          33     0.42648    0.435068  0.00247817
          34     0.45104    0.435538  0.00244939
          35    0.428146    0.435327   0.0023885
          36    0.401794    0.434396  0.00249718
          37    0.449603    0.434807  0.00246329
          38     0.43237    0.434742   0.0023993
          39     0.42741    0.434554  0.00234513
          40    0.439379    0.434675   0.0022896
          41    0.412415    0.434132  0.00229723
          42    0.424568    0.433904  0.00225379
          43    0.449066    0.434257  0.00222879
          44     0.46379    0.434928  0.00227696
          45    0.424465    0.434696   0.0022382
          46    0.440356    0.434819  0.00219293
          47    0.433156    0.434783  0.00214655
          48    0.462847    0.435368     0.00218
          49    0.415694    0.434967  0.00217217
          50    0.421455    0.434696  0.00214547
