#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.45371    -5.92026   0.0461697
         153    -5.45444    -5.91721   0.0459682
         154    -5.45544    -5.91421   0.0457674
         155     -5.4558    -5.91125   0.0455675
         156    -5.45674    -5.90834   0.0453685
         157    -5.45677    -5.90546   0.0451706
         158    -5.45771    -5.90263   0.0449735
         159    -5.45851    -5.89984   0.0447773
         160    -5.45904    -5.89708   0.0445821
         161     -5.4599    -5.89437   0.0443879
         162    -5.46173     -5.8917   0.0441941
         163    -5.46272    -5.88906   0.0440013
         164    -5.46362    -5.88647   0.0438094
         165     -5.4646    -5.88391   0.0436184
         166    -5.46581     -5.8814   0.0434283
         167     -5.4674    -5.87892    0.043239
         168     -5.4689    -5.87648   0.0430504
         169    -5.47016    -5.87407   0.0428628
         170    -5.47177     -5.8717   0.0426759
         171    -5.47234    -5.86937   0.0424902
         172    -5.47384    -5.86707   0.0423053
         173    -5.47517     -5.8648   0.0421214
         174    -5.47615    -5.86257   0.0419385
         175    -5.47722    -5.86037   0.0417566
         176    -5.47881     -5.8582   0.0415756
         177    -5.47967    -5.85606   0.0413957
         178     -5.4807    -5.85395   0.0412168
         179    -5.48111    -5.85187   0.0410391
         180    -5.48133    -5.84981   0.0408627
         181    -5.48166    -5.84778   0.0406876
         182    -5.48178    -5.84577   0.0405137
         183    -5.48138    -5.84378   0.0403412
         184     -5.4809     -5.8418   0.0401701
         185     -5.4802    -5.83985   0.0400005
         186    -5.47912    -5.83791   0.0398325
         187    -5.47798    -5.83598   0.0396659
         188    -5.47649    -5.83407    0.039501
         189    -5.47511    -5.83217   0.0393376
         190     -5.4734    -5.83029   0.0391759
         191    -5.47169    -5.82841   0.0390157
         192    -5.46969    -5.82654   0.0388572
         193    -5.46789    -5.82468   0.0387003
         194    -5.46463    -5.82283   0.0385453
         195    -5.46268    -5.82098   0.0383919
         196    -5.46023    -5.81914   0.0382401
         197    -5.45791     -5.8173   0.0380899
         198    -5.45574    -5.81548   0.0379413
         199    -5.45406    -5.81366   0.0377941
         200    -5.45166    -5.81185   0.0376484
         201    -5.45009    -5.81005   0.0375041
         202    -5.44799    -5.80826   0.0373612
         203    -5.44614    -5.80648   0.0372198
         204    -5.44425     -5.8047   0.0370796
         205    -5.44234    -5.80293   0.0369409
         206    -5.44103    -5.80118   0.0368033
         207    -5.43971    -5.79943   0.0366669
         208    -5.43856    -5.79769   0.0365316
         209    -5.43713    -5.79597   0.0363976
         210    -5.43588    -5.79425   0.0362646
         211    -5.43527    -5.79255   0.0361326
         212    -5.43486    -5.79087   0.0360016
         213    -5.43497     -5.7892   0.0358713
         214      -5.435    -5.78754   0.0357418
         215    -5.43481     -5.7859   0.0356132
         216    -5.43547    -5.78428   0.0354853
         217    -5.43654    -5.78267   0.0353579
         218    -5.43713    -5.78109   0.0352312
         219     -5.4383    -5.77952   0.0351051
         220    -5.43946    -5.77798   0.0349796
         221    -5.44138    -5.77646   0.0348544
         222     -5.4436    -5.77496   0.0347297
         223    -5.44614    -5.77348   0.0346052
         224    -5.44885    -5.77203   0.0344811
         225    -5.45218    -5.77061   0.0343571
         226    -5.45582    -5.76922   0.0342333
         227    -5.45977    -5.76785   0.0341096
         228    -5.46371    -5.76652   0.0339861
         229    -5.46807    -5.76522   0.0338627
         230    -5.47223    -5.76394   0.0337394
         231    -5.47676     -5.7627   0.0336162
         232     -5.4821    -5.76149   0.0334931
         233    -5.48745    -5.76031     0.03337
         234    -5.49309    -5.75917   0.0332469
         235    -5.49896    -5.75807   0.0331239
         236    -5.50427    -5.75699    0.033001
         237    -5.50989    -5.75595   0.0328782
         238    -5.51549    -5.75494   0.0327556
