#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168      1.6619     2.08137   0.0431573
         169      1.6631     2.07889   0.0429729
         170     1.66436     2.07646   0.0427892
         171     1.66566     2.07405   0.0426064
         172       1.667     2.07169   0.0424243
         173     1.66834     2.06936   0.0422431
         174     1.66966     2.06706   0.0420627
         175     1.67095      2.0648   0.0418832
         176     1.67217     2.06256   0.0417046
         177      1.6733     2.06037    0.041527
         178     1.67431      2.0582   0.0413503
         179     1.67519     2.05606   0.0411746
         180      1.6759     2.05394       0.041
         181     1.67643     2.05186   0.0408265
         182     1.67675      2.0498   0.0406541
         183     1.67687     2.04776    0.040483
         184     1.67677     2.04574   0.0403132
         185     1.67644     2.04375   0.0401447
         186     1.67589     2.04177   0.0399775
         187     1.67512     2.03981   0.0398118
         188     1.67413     2.03786   0.0396475
         189     1.67294     2.03593   0.0394847
         190     1.67156     2.03402   0.0393235
         191     1.67001     2.03211   0.0391637
         192      1.6683     2.03022   0.0390056
         193     1.66645     2.02833    0.038849
         194      1.6645     2.02645    0.038694
         195     1.66246     2.02459   0.0385405
         196     1.66035     2.02273   0.0383887
         197      1.6582     2.02088   0.0382384
         198     1.65604     2.01904   0.0380896
         199     1.65387      2.0172   0.0379424
         200     1.65174     2.01537   0.0377967
         201     1.64965     2.01355   0.0376524
         202     1.64762     2.01174   0.0375095
         203     1.64567     2.00994   0.0373681
         204     1.64382     2.00815    0.037228
         205     1.64209     2.00636   0.0370892
         206     1.64048     2.00458   0.0369516
         207     1.63902     2.00282   0.0368153
         208      1.6377     2.00106   0.0366801
         209     1.63655     1.99932   0.0365461
         210     1.63557     1.99759   0.0364131
         211     1.63477     1.99587   0.0362811
         212     1.63416     1.99416     0.03615
         213     1.63376     1.99247   0.0360199
         214     1.63357     1.99079   0.0358906
         215      1.6336     1.98913   0.0357621
         216     1.63386     1.98749   0.0356343
         217     1.63437     1.98586   0.0355072
         218     1.63514     1.98425   0.0353808
         219     1.63618     1.98266   0.0352549
         220      1.6375     1.98109   0.0351296
         221     1.63912     1.97954   0.0350047
         222     1.64103     1.97802   0.0348802
         223     1.64326     1.97652   0.0347561
         224      1.6458     1.97504   0.0346322
         225     1.64866     1.97359   0.0345087
         226     1.65184     1.97217   0.0343854
         227     1.65533     1.97077   0.0342622
         228     1.65912      1.9694   0.0341392
         229     1.66321     1.96807   0.0340163
         230     1.66757     1.96676   0.0338935
         231     1.67218     1.96549   0.0337707
         232     1.67702     1.96424    0.033648
         233     1.68206     1.96303   0.0335254
         234     1.68725     1.96185   0.0334028
         235     1.69258     1.96071   0.0332803
         236     1.69799     1.95959   0.0331579
         237     1.70346     1.95851   0.0330356
         238     1.70893     1.95746   0.0329135
         239     1.71437     1.95645   0.0327915
         240     1.71974     1.95546   0.0326697
         241     1.72501      1.9545   0.0325481
         242     1.73015     1.95358   0.0324268
         243     1.73512     1.95268   0.0323058
         244      1.7399     1.95181   0.0321852
         245     1.74447     1.95096   0.0320649
         246     1.74879     1.95014   0.0319451
         247     1.75287     1.94934   0.0318258
         248     1.75668     1.94856   0.0317069
         249     1.76022     1.94781   0.0315886
         250     1.76349     1.94707   0.0314709
         251     1.76647     1.94635   0.0313537
         252     1.76919     1.94565   0.0312372
         253     1.77163     1.94496   0.0311213
         254     1.77381     1.94428    0.031006
         255     1.77574     1.94362   0.0308915
         256     1.77741     1.94297   0.0307776
         257     1.77886     1.94234   0.0306645
         258     1.78008     1.94171   0.0305521
         259     1.78109     1.94109   0.0304404
         260     1.78191     1.94047   0.0303295
         261     1.78255     1.93987   0.0302193
         262     1.78302     1.93927   0.0301099
         263     1.78333     1.93868   0.0300013
         264      1.7835     1.93809   0.0298934
         265     1.78355     1.93751   0.0297863
         266     1.78347     1.93693   0.0296799
         267     1.78329     1.93635   0.0295744
         268     1.78302     1.93578   0.0294695
         269     1.78265     1.93521   0.0293655
         270     1.78221     1.93464   0.0292622
         271      1.7817     1.93408   0.0291596
         272     1.78113     1.93352   0.0290579
         273      1.7805     1.93296   0.0289568
         274     1.77982      1.9324   0.0288565
         275     1.77909     1.93184    0.028757
         276     1.77832     1.93128   0.0286582
         277      1.7775     1.93073   0.0285601
         278     1.77665     1.93018   0.0284627
         279     1.77576     1.92962   0.0283661
         280     1.77483     1.92907   0.0282702
         281     1.77385     1.92852    0.028175
         282     1.77284     1.92796   0.0280805
         283     1.77177     1.92741   0.0279867
         284     1.77065     1.92686   0.0278936
         285     1.76949     1.92631   0.0278012
         286     1.76826     1.92576   0.0277094
         287     1.76697      1.9252   0.0276184
         288     1.76561     1.92465   0.0275281
         289     1.76417     1.92409   0.0274384
         290     1.76266     1.92354   0.0273495
         291     1.76105     1.92298   0.0272612
         292     1.75936     1.92242   0.0271736
         293     1.75756     1.92185   0.0270867
         294     1.75567     1.92129   0.0270004
         295     1.75366     1.92072   0.0269149
         296     1.75155     1.92015     0.02683
         297     1.74932     1.91957   0.0267458
         298     1.74697       1.919   0.0266624
         299      1.7445     1.91841   0.0265796
         300     1.74192     1.91782   0.0264975
         301     1.73922     1.91723   0.0264161
         302      1.7364     1.91663   0.0263354
         303     1.73348     1.91603   0.0262554
         304     1.73045     1.91542   0.0261762
         305     1.72732      1.9148   0.0260976
         306     1.72411     1.91418   0.0260198
         307     1.72081     1.91355   0.0259426
         308     1.71744     1.91291   0.0258662
         309     1.71401     1.91227   0.0257905
         310     1.71053     1.91162   0.0257155
         311       1.707     1.91096   0.0256412
         312     1.70344     1.91029   0.0255677
         313     1.69986     1.90962   0.0254948
         314     1.69625     1.90894   0.0254227
         315     1.69264     1.90825   0.0253513
         316     1.68902     1.90756   0.0252805
         317      1.6854     1.90686   0.0252105
         318     1.68177     1.90615   0.0251411
         319     1.67815     1.90544   0.0250725
         320     1.67453     1.90472   0.0250045
         321     1.67091     1.90399   0.0249372
         322     1.66728     1.90325   0.0248706
         323     1.66365     1.90251   0.0248047
         324     1.66001     1.90176   0.0247394
         325     1.65635     1.90101   0.0246748
         326     1.65268     1.90024   0.0246109
         327     1.64899     1.89948   0.0245476
         328     1.64528      1.8987    0.024485
         329     1.64155     1.89792    0.024423
         330      1.6378     1.89713   0.0243618
         331     1.63404     1.89634   0.0243011
         332     1.63026     1.89554   0.0242411
         333     1.62648     1.89473   0.0241818
         334     1.62269     1.89391   0.0241231
         335     1.61892     1.89309   0.0240651
         336     1.61518     1.89226   0.0240077
         337     1.61148     1.89143   0.0239509
         338     1.60784     1.89059   0.0238947
         339     1.60428     1.88975   0.0238391
         340     1.60083      1.8889   0.0237842
         341     1.59749     1.88804   0.0237298
         342      1.5943     1.88718   0.0236759
         343     1.59127     1.88632   0.0236226
         344     1.58843     1.88546   0.0235698
         345      1.5858     1.88459   0.0235175
         346     1.58339     1.88372   0.0234656
         347     1.58122     1.88285   0.0234142
         348     1.57932     1.88197   0.0233631
         349     1.57769      1.8811   0.0233125
         350     1.57635     1.88023   0.0232621
         351     1.57531     1.87936    0.023212
         352     1.57458      1.8785   0.0231622
         353     1.57415     1.87763   0.0231127
         354     1.57404     1.87678   0.0230633
         355     1.57423     1.87592   0.0230141
         356     1.57474     1.87508    0.022965
         357     1.57556     1.87424   0.0229159
         358     1.57667     1.87341    0.022867
         359     1.57808     1.87259   0.0228181
         360     1.57977     1.87177   0.0227692
         361     1.58173     1.87097   0.0227203
         362     1.58393     1.87018   0.0226714
         363     1.58638     1.86939   0.0226224
         364     1.58905     1.86862   0.0225734
         365     1.59191     1.86787   0.0225242
         366     1.59497     1.86712    0.022475
         367     1.59818     1.86639   0.0224257
         368     1.60154     1.86567   0.0223763
         369     1.60501     1.86496   0.0223268
         370     1.60858     1.86427   0.0222773
         371     1.61224     1.86359   0.0222276
         372     1.61595     1.86292   0.0221778
         373     1.61969     1.86227   0.0221279
         374     1.62346     1.86163    0.022078
         375     1.62723     1.86101   0.0220279
