#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152    -3.80431    -3.79406  0.00123864
         153    -3.80427    -3.79412  0.00123234
         154    -3.80453    -3.79419  0.00122619
         155     -3.8042    -3.79426  0.00121998
         156    -3.80448    -3.79432  0.00121392
         157    -3.80387    -3.79438  0.00120771
         158    -3.80417    -3.79444  0.00120165
         159    -3.80434    -3.79451  0.00119571
         160    -3.80421    -3.79457  0.00118977
         161     -3.8044    -3.79463  0.00118395
         162    -3.80551     -3.7947  0.00117854
         163    -3.80573    -3.79476  0.00117326
         164     -3.8058    -3.79483  0.00116803
         165    -3.80587     -3.7949  0.00116286
         166     -3.8061    -3.79496  0.00115782
         167    -3.80663    -3.79503  0.00115299
         168      -3.807    -3.79511  0.00114832
         169    -3.80706    -3.79518   0.0011437
         170    -3.80741    -3.79525  0.00113923
         171    -3.80668    -3.79532  0.00113453
         172    -3.80684    -3.79538  0.00112991
         173    -3.80683    -3.79545  0.00112532
         174    -3.80649    -3.79551  0.00112064
         175    -3.80627    -3.79557  0.00111592
         176    -3.80664    -3.79564  0.00111135
         177    -3.80637     -3.7957  0.00110672
         178    -3.80638    -3.79576  0.00110213
         179    -3.80592    -3.79581  0.00109744
         180    -3.80543    -3.79587  0.00109264
         181    -3.80524    -3.79592  0.00108783
         182    -3.80503    -3.79597    0.001083
         183     -3.8045    -3.79602  0.00107809
         184    -3.80413    -3.79606  0.00107313
         185    -3.80375     -3.7961  0.00106814
         186    -3.80323    -3.79614  0.00106308
         187    -3.80286    -3.79618    0.001058
         188    -3.80235    -3.79621  0.00105289
         189    -3.80216    -3.79624  0.00104779
         190    -3.80184    -3.79627  0.00104269
         191    -3.80168     -3.7963  0.00103761
         192    -3.80139    -3.79632  0.00103255
         193    -3.80143    -3.79635  0.00102754
         194    -3.80013    -3.79637  0.00102242
         195    -3.80022    -3.79639  0.00101737
         196    -3.79988    -3.79641  0.00101234
         197     -3.7997    -3.79642  0.00100734
         198    -3.79971    -3.79644  0.00100238
         199    -3.80018    -3.79646 0.000997524
         200    -3.79993    -3.79648 0.000992687
         201    -3.80044     -3.7965 0.000987944
         202    -3.80037    -3.79652 0.000983239
         203    -3.80047    -3.79654 0.000978589
         204    -3.80043    -3.79655 0.000973978
         205    -3.80026    -3.79657 0.000969394
         206    -3.80055    -3.79659 0.000964881
         207     -3.8007    -3.79661 0.000960423
         208    -3.80086    -3.79663 0.000956023
         209    -3.80058    -3.79665 0.000951635
         210    -3.80031    -3.79667 0.000947263
         211     -3.8005    -3.79669 0.000942947
         212     -3.8007    -3.79671 0.000938689
         213    -3.80121    -3.79673 0.000934521
         214    -3.80144    -3.79675 0.000930413
         215    -3.80122    -3.79677 0.000926317
         216    -3.80161    -3.79679   0.0009223
         217    -3.80217    -3.79682 0.000918383
         218    -3.80199    -3.79684 0.000914477
         219    -3.80212    -3.79686 0.000910618
         220    -3.80196    -3.79689 0.000906773
         221    -3.80226    -3.79691 0.000902996
         222    -3.80257    -3.79694 0.000899288
         223    -3.80288    -3.79696  0.00089565
         224    -3.80305    -3.79699 0.000892064
         225    -3.80352    -3.79702  0.00088857
         226    -3.80399    -3.79705 0.000885173
         227    -3.80444    -3.79708 0.000881872
         228    -3.80458    -3.79712 0.000878617
         229    -3.80486    -3.79715  0.00087543
         230    -3.80465    -3.79718 0.000872231
         231    -3.80458    -3.79722 0.000869043
         232    -3.80508    -3.79725 0.000865958
         233     -3.8054    -3.79728 0.000862948
         234    -3.80583    -3.79732 0.000860032
         235    -3.80637    -3.79736 0.000857235
         236    -3.80627     -3.7974 0.000854435
         237    -3.80643    -3.79743  0.00085168
         238    -3.80656    -3.79747 0.000848964
         239    -3.80619    -3.79751 0.000846195
         240    -3.80639    -3.79755 0.000843479
         241    -3.80641    -3.79758  0.00084078
         242    -3.80625    -3.79762 0.000838068
         243    -3.80636    -3.79766  0.00083539
         244    -3.80645    -3.79769 0.000832743
         245    -3.80651    -3.79773 0.000830122
         246    -3.80687    -3.79776 0.000827579
         247    -3.80615     -3.7978 0.000824924
         248    -3.80573    -3.79783 0.000822217
         249    -3.80545    -3.79786 0.000819484
         250    -3.80457    -3.79789 0.000816645
         251    -3.80444    -3.79791 0.000813809
         252    -3.80432    -3.79794 0.000810977
         253    -3.80406    -3.79796 0.000808132
         254     -3.8038    -3.79799 0.000805278
         255    -3.80371    -3.79801 0.000802432
         256    -3.80362    -3.79803 0.000799597
         257     -3.8034    -3.79805 0.000796758
         258    -3.80349    -3.79807 0.000793949
         259    -3.80345    -3.79809 0.000791155
         260    -3.80311    -3.79811 0.000788347
         261    -3.80264    -3.79813 0.000785518
         262    -3.80234    -3.79815 0.000782684
         263    -3.80204    -3.79816 0.000779848
         264    -3.80176    -3.79817 0.000777013
         265    -3.80134    -3.79819 0.000774172
         266    -3.80123     -3.7982 0.000771347
         267    -3.80113    -3.79821 0.000768536
         268     -3.8012    -3.79822 0.000765749
         269    -3.80127    -3.79823 0.000762987
         270     -3.8015    -3.79824 0.000760257
         271    -3.80099    -3.79825 0.000757519
         272    -3.80063    -3.79826 0.000754784
         273    -3.80073    -3.79827 0.000752073
         274    -3.80068    -3.79828  0.00074938
         275    -3.80033    -3.79829 0.000746692
         276    -3.79984    -3.79829 0.000744008
         277     -3.7998     -3.7983 0.000741342
         278    -3.79961     -3.7983  0.00073869
         279    -3.79957    -3.79831 0.000736057
         280    -3.79983    -3.79831 0.000733448
         281    -3.80024    -3.79832  0.00073087
         282    -3.80034    -3.79833 0.000728313
         283    -3.79984    -3.79833 0.000725759
         284    -3.79949    -3.79834 0.000723215
         285    -3.79943    -3.79834 0.000720688
         286    -3.79951    -3.79835 0.000718179
         287     -3.7993    -3.79835 0.000715685
         288    -3.79907    -3.79835 0.000713204
         289    -3.79914    -3.79835 0.000710741
         290    -3.79875    -3.79835 0.000708292
         291    -3.79866    -3.79836 0.000705859
         292    -3.79871    -3.79836 0.000703442
         293    -3.79846    -3.79836 0.000701042
         294    -3.79835    -3.79836 0.000698657
         295    -3.79809    -3.79836 0.000696289
         296    -3.79797    -3.79836 0.000693938
         297    -3.79771    -3.79835 0.000691605
         298    -3.79759    -3.79835 0.000689289
         299    -3.79732    -3.79835 0.000686993
         300     -3.7969    -3.79834 0.000684719
         301    -3.79679    -3.79834 0.000682464
         302    -3.79637    -3.79833 0.000680235
         303    -3.79657    -3.79832 0.000678015
         304    -3.79587    -3.79832 0.000675833
         305    -3.79578    -3.79831 0.000673668
         306    -3.79615     -3.7983 0.000671503
         307    -3.79578    -3.79829 0.000669366
         308    -3.79572    -3.79828 0.000667245
         309    -3.79566    -3.79828  0.00066514
         310    -3.79486    -3.79827 0.000663086
         311    -3.79453    -3.79825 0.000661062
         312     -3.7945    -3.79824 0.000659053
         313    -3.79479    -3.79823  0.00065704
         314    -3.79447    -3.79822 0.000655056
         315    -3.79462    -3.79821 0.000653077
         316    -3.79446     -3.7982 0.000651117
         317    -3.79461    -3.79818 0.000649161
         318    -3.79477    -3.79817 0.000647209
         319    -3.79446    -3.79816 0.000645285
         320    -3.79477    -3.79815 0.000643355
         321    -3.79461    -3.79814 0.000641445
         322    -3.79461    -3.79813 0.000639547
         323    -3.79414    -3.79812 0.000637686
         324    -3.79413     -3.7981 0.000635837
         325    -3.79381    -3.79809 0.000634017
         326     -3.7941    -3.79808 0.000632191
         327    -3.79393    -3.79807 0.000630385
         328    -3.79421    -3.79805 0.000628572
         329    -3.79479    -3.79804  0.00062674
         330    -3.79478    -3.79803 0.000624919
         331    -3.79476    -3.79802 0.000623109
         332    -3.79476    -3.79801  0.00062131
         333    -3.79461      -3.798 0.000619528
         334    -3.79462    -3.79799 0.000617756
         335    -3.79434    -3.79798 0.000616009
         336    -3.79423    -3.79797 0.000614276
         337    -3.79445    -3.79796 0.000612543
         338    -3.79392    -3.79795 0.000610847
         339    -3.79342    -3.79794 0.000609191
         340    -3.79324    -3.79792 0.000607556
         341    -3.79323    -3.79791  0.00060593
         342    -3.79369     -3.7979 0.000604284
         343    -3.79388    -3.79788 0.000602636
         344    -3.79423    -3.79787 0.000600978
         345    -3.79401    -3.79786  0.00059934
         346     -3.7947    -3.79785 0.000597678
         347    -3.79421    -3.79784 0.000596047
         348    -3.79433    -3.79783  0.00059442
         349    -3.79462    -3.79782 0.000592788
