#   N_BLOCK:  ACCEPTANCE:
           1     0.27355
           2     0.27221
           3    0.272611
           4    0.272475
           5    0.272576
           6    0.272855
           7    0.272506
           8    0.272783
           9    0.272816
          10    0.272744
          11    0.272738
          12    0.272578
          13    0.272319
          14    0.272438
          15    0.272333
          16    0.272321
          17    0.272312
          18    0.272316
          19     0.27232
          20    0.272324
          21    0.272363
          22    0.272362
          23    0.272448
          24    0.272508
          25    0.272392
          26     0.27239
          27      0.2724
          28    0.272381
          29    0.272467
          30     0.27237
          31    0.272347
          32    0.272319
          33    0.272351
          34    0.272358
          35    0.272352
          36    0.272333
          37    0.272355
          38    0.272293
          39      0.2723
          40    0.272309
          41    0.272298
          42    0.272307
          43     0.27235
          44    0.272366
          45    0.272337
          46    0.272378
          47    0.272394
          48     0.27246
          49    0.272474
          50    0.272452
