#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.107942    0.107942           0
           2    0.108664    0.108303 0.000255266
           3    0.117386    0.111331  0.00247793
           4    0.116278    0.112567  0.00214503
           5    0.124944    0.115043  0.00280115
           6    0.083932    0.109858  0.00527765
           7    0.130846    0.112856   0.0053075
           8    0.108908    0.112362  0.00466695
           9    0.110832    0.112192   0.0041515
          10    0.106494    0.111623  0.00377525
          11    0.109016    0.111386  0.00343948
          12    0.124322    0.112464   0.0033175
          13     0.11856    0.112933  0.00309527
          14     0.11907    0.113371  0.00290506
          15    0.125396    0.114173  0.00281983
          16    0.089054    0.112603  0.00304946
          17    0.109666     0.11243  0.00287497
          18      0.1036    0.111939  0.00275678
          19    0.119428    0.112334  0.00263971
          20    0.105822    0.112008  0.00252772
          21    0.113088    0.112059  0.00240788
          22    0.101098    0.111561  0.00234941
          23     0.11011    0.111498  0.00224811
          24    0.100604    0.111044  0.00219979
          25    0.116206    0.111251  0.00212147
          26    0.117708    0.111499  0.00205436
          27    0.126474    0.112054  0.00205177
          28    0.108452    0.111925  0.00198252
          29    0.102508      0.1116  0.00194057
          30    0.115528    0.111731   0.0018803
          31    0.125512    0.112176  0.00187145
          32    0.100452    0.111809  0.00184849
          33    0.108082    0.111696  0.00179592
          34    0.120334     0.11195  0.00176097
          35    0.120376    0.112191  0.00172704
          36    0.101756    0.111901  0.00170321
          37    0.112184    0.111909   0.0016572
          38    0.096864    0.111513  0.00166021
          39    0.133934    0.112088  0.00171429
          40    0.107732    0.111979  0.00167489
          41    0.108356    0.111891  0.00163637
          42    0.112064    0.111895  0.00159741
          43    0.107788    0.111799  0.00156311
          44      0.1095    0.111747  0.00152846
          45    0.091796    0.111304  0.00155747
          46     0.10186    0.111098  0.00153708
          47     0.10224     0.11091  0.00151589
          48    0.112496    0.110943  0.00148467
          49    0.110366    0.110931  0.00145442
          50    0.099546    0.110703  0.00144304
